,U26C,I07H,UK24,4TQ6,IZ20,R42Q,Q58J,P5F3,XU70,3TR7,Q6O0,E3B6,L7J7,E6R3,R7D1,R9K3,C88N,J7F9,6VV2,9Q6R,50GV,B5I6,0C7Q,K9P0,O21U,X19V,L3V8,6FH5,3C6G,98BT,9U7M,0H5E,43FJ,1KB2,08MQ,V55J,46CD,C22U,I52Y,1P0Y,SM54,51PW,0I4U,94GU,9T8E,L9G5,O6R6,0JO0,I9D6,UI76,AO86,DC61,3PQ2,X1Y5,27SS,T54A,2T6S,2T7P,0ED6,R5K7,B23O,O03M,4SZ2,80GC
Q6O0,-0.9541917716365992,-0.5347947140618958,-0.3388378041818394,0.6664790543432044,0.6822295040128316,0.8224956729057092,0.7490507752585797,0.8149726103168135,0.7605046604536778,0.9917695668920872,1.0,0.9596596962889365,0.9765004765642722,0.8599826559552223,0.8662915460071609,0.9005537582222941,0.9180727208117323,0.9293666580935274,0.8035455184183471,0.9180006125846771,0.9246482840485705,0.927947893583406,0.88920283950499,0.8724016898830805,0.879802689047454,0.8954204707741511,0.9024348700775648,0.9341888004625641,0.9103530718966217,0.9278465571314055,0.8854738833877913,0.8765842253083067,0.8596344273116588,0.8307470789470298,0.8759040772261801,0.8675580835337349,0.8487497515654757,0.8389634651059602,0.8626658851306089,0.7373630554042818,0.7537183767512703,0.7661666053000821,0.7717657064288276,0.7471420197735096,-0.09591609449463431,0.31521565238285143,0.14137411880269232,0.44249330737919784,0.44825054859468544,0.5296331915018984,0.3790837135254379,0.35679849354464593,0.6756508091126068,0.7365123781279062,0.6538883608597563,0.6777446905742573,0.6444870961149513,0.5609810406760404,0.618367129788606,0.6670980749969146,0.5710775459598693,0.5451019526218376,0.5897291571918796,0.47277474884721543
E3B6,-0.9678263475148192,-0.50655996295233,-0.34045619267836613,0.6265685811974133,0.6729405502479479,0.7875028509276389,0.7349230835454494,0.7890108621674635,0.7713067594355811,0.9594893423203663,0.9596596962889364,1.0,0.9716963097329513,0.8626241185340434,0.881207063185321,0.8810637527294196,0.8892050804690054,0.8894268764569585,0.8154586665406635,0.9372601021000274,0.9499858686753655,0.9493183337519485,0.8725753695612242,0.904837353903976,0.9141457227046018,0.9223986181106553,0.8952193154417389,0.9081981846312139,0.8716824924935358,0.8701034630519667,0.8494354515668341,0.8310349401578743,0.821984665270626,0.7948989348559128,0.8249745844748017,0.8399510685080157,0.8035805319662922,0.7998165758150234,0.8180937171675731,0.7231591297934151,0.7690431134489584,0.7308478464719996,0.7387315185974369,0.7076791510315629,-0.049256049174834275,0.3404718058408859,0.19170846780848697,0.45850143530712734,0.43514074710882816,0.5590034694231388,0.39784713197306165,0.3774107485123621,0.7098817556980261,0.7481122393936517,0.6629262563661653,0.7083051343525618,0.6290260712940704,0.5641305198248223,0.5707688287872341,0.6075435822944023,0.5899314641409895,0.573310473001116,0.5790757958542093,0.47166814637021715
L7J7,-0.9816738768358799,-0.5344759660157876,-0.33721592560411584,0.633113573966702,0.6664905928367275,0.8135315370168781,0.7379918809416208,0.8037721337524171,0.7599297323447897,0.982714792493283,0.9765004765642723,0.9716963097329514,1.0,0.8628156882357331,0.8750502272277888,0.8894964705414036,0.8836238750986855,0.8924758022189739,0.8284235467726929,0.9543970786000094,0.9565447065068277,0.9606019945502491,0.8886511942533253,0.9067490408416703,0.9165446004524844,0.9255915603350507,0.8847999436742744,0.9245544100706876,0.892173965100878,0.8963485265767042,0.8688588388327858,0.8450161726604243,0.8419181833515857,0.803570224676845,0.844253349304078,0.8474301621371325,0.8020044910352933,0.804024977042434,0.8386386081137683,0.7281835039783098,0.77152406778237,0.7606280345154192,0.7586247817848646,0.7178631640760466,-0.09374958061841167,0.31201751628801677,0.17107215418385008,0.46132283298092114,0.45405081435986966,0.5563827328684253,0.4014738758961252,0.37386203535120477,0.7077354996182618,0.7671259863803115,0.6558979395525831,0.6967166066528803,0.6447264225681951,0.5619421916144709,0.6404862507623863,0.6783049856107046,0.5984153293189219,0.5782197288962505,0.575109681716012,0.4718105356018269
E6R3,-0.8914147419034475,-0.5591851206681812,-0.3495055338389616,0.5671438230726357,0.5429294553215472,0.695707604964819,0.6229036691544871,0.7090184942681391,0.7048615320028997,0.8514572093315895,0.8599826559552222,0.8626241185340434,0.8628156882357331,1.0,0.9390852692362176,0.9240399841238514,0.8778167319243856,0.8912520994445914,0.8026612231019269,0.8592554101915361,0.8986909298102754,0.893418959890839,0.8457523636550602,0.8910221839156723,0.8542335997415165,0.8694333058690454,0.7837533301389552,0.8239743210127668,0.7888234432477236,0.7882777505196947,0.7408471336020841,0.729370420140597,0.7486207310525623,0.7510256544947921,0.7861638437797529,0.767364316645863,0.7772453950571084,0.8331270969360027,0.8302228905844772,0.6970027363684004,0.7356340735263962,0.6282705173493729,0.6857803207463739,0.6770389035601083,-0.08117152709846377,0.2808491933362609,0.22259124093758215,0.4368220785413565,0.5408978515552643,0.6543599635263059,0.4895600513828309,0.34070436712227414,0.7089764806741492,0.7629909018818537,0.6505042259270736,0.6309343953462535,0.6156524137679663,0.5539039119207525,0.45942544695202847,0.4859187383110307,0.6140807445207049,0.605422502206539,0.5325070936556986,0.4870816062052919
R7D1,-0.904698943907775,-0.5237650791925567,-0.34411302209820044,0.5722400502483793,0.5570686264832078,0.6778213524161056,0.6263903807654376,0.7046622995840128,0.7215021399291185,0.8648738290210908,0.866291546007161,0.8812070631853209,0.8750502272277887,0.9390852692362175,0.9999999999999998,0.9351584036977414,0.8910413260559994,0.8995261894989911,0.8081908536571681,0.8765342106978635,0.9217548377085949,0.9094063308701855,0.8530439377011925,0.9376415421044729,0.8849969423913984,0.8969562772948925,0.798766372646408,0.83680043667983,0.8024280041707356,0.799221024792419,0.7572675868022413,0.7388150510459465,0.7623102170636906,0.7538289635133325,0.7919460184120489,0.7779836960801579,0.7911348310281251,0.838537169741513,0.8391080126649652,0.7077617252598006,0.7357387074896592,0.6249150776032723,0.6895145275428527,0.6747317381874409,-0.04171761953685907,0.3004514791222127,0.2728843983997811,0.44692654824596445,0.5403316025349443,0.7048222809597858,0.4806438269791926,0.3418341757003714,0.7250161537004955,0.7570245315183286,0.6915568753858435,0.6504844725500568,0.6343526933519665,0.5663696485269051,0.4581974526731931,0.4856811849979804,0.618554813907754,0.6214630592752209,0.5405516391296616,0.48190505761654084
R9K3,-0.9103877445386284,-0.5392249352059828,-0.34510919996729306,0.5854113043780936,0.545475944582663,0.6829978994358369,0.6195843030604563,0.710391016382722,0.6966309809837967,0.897861727280439,0.9005537582222942,0.8810637527294196,0.8894964705414036,0.9240399841238515,0.9351584036977414,1.0,0.9559215249305726,0.9749998973240057,0.7931082084969374,0.8465300508689456,0.8898883878168,0.8919237318707793,0.8563606284578842,0.872087993184431,0.8419809920524203,0.8559845091480989,0.8131055059179018,0.8671690091638358,0.836312117776846,0.8375986465228966,0.764083490408067,0.7667088452168033,0.7755435776209142,0.7834016313182994,0.8337355477806385,0.8138382870930055,0.8523716560115574,0.8808965998486413,0.8771283267274284,0.7436167808357524,0.7384514645687579,0.6315300462335777,0.7172268156203727,0.7204561093974474,-0.02647394274507817,0.28067299590962397,0.18789718485669682,0.4520853328894414,0.5529020280180157,0.6444702259239848,0.5054575229633618,0.3509582413962865,0.6919661851499315,0.7522392267996028,0.6742669670972906,0.6407929080094741,0.687530783281804,0.5773602780949985,0.45368844432377986,0.4831188955015412,0.5736151360302115,0.556724316794701,0.5440735702490079,0.4694614113938222
C88N,-0.8828605962159678,-0.520393957862865,-0.3423331800615823,0.6088616881655351,0.5798536146197281,0.7163728783551101,0.6520096655656413,0.7333889417525866,0.7082173002982107,0.9155657024721315,0.9180727208117324,0.8892050804690053,0.8836238750986855,0.8778167319243856,0.8910413260559994,0.9559215249305726,0.9999999999999998,0.9753245263674867,0.7591440693537083,0.837131566249466,0.8590574955762922,0.8607615425988814,0.8383315618232793,0.8268823225700496,0.8083427900900934,0.8331828912115268,0.8459970995944076,0.8817243276536647,0.8555189970755283,0.8704996361111776,0.8007890754250031,0.8174496165191467,0.7965453738029432,0.8057600086272013,0.8488748412464289,0.8446983861387957,0.8767910834067936,0.8823381340570601,0.8834884121779168,0.7319447640601079,0.7075943267037463,0.6579156572353874,0.7305547074242433,0.7360537217651869,-0.05691910455476557,0.3073167893034757,0.14102570288852875,0.4245197303706211,0.5033377873281726,0.5744445769735382,0.4306544265015766,0.32357618249144593,0.6416363508933118,0.6842673776936924,0.6635288169967977,0.6407182402775904,0.6716071195605288,0.5684961091553019,0.4736994751237411,0.511261098871115,0.5354672495841698,0.5209727242228426,0.5577878409991265,0.45663369128464293
J7F9,-0.8982676856795239,-0.5307056400899197,-0.3418892540185676,0.6315147043528009,0.5859952732416464,0.712110251109537,0.6575865884748717,0.741527461248751,0.7139171368260226,0.9226495667081419,0.9293666580935273,0.8894268764569585,0.8924758022189739,0.8912520994445914,0.8995261894989909,0.9749998973240058,0.9753245263674868,0.9999999999999998,0.769709689430025,0.8349118309959674,0.8699597439222626,0.871288781365066,0.8523089327575606,0.8419816707184206,0.8195638664984031,0.8391546939520622,0.8447885208486822,0.8938571457307809,0.865980498425823,0.8804516089454596,0.8017450896639264,0.8084220322163063,0.7980809274953411,0.8137013572516771,0.8675508734702007,0.8471636331154258,0.8918752406063926,0.8952145500665045,0.8885665945824337,0.7500423239651102,0.7254138488835326,0.6553287048486685,0.736570979074218,0.7452340952086395,-0.03422212460074037,0.2950279842662891,0.1421716846666629,0.42526140044526844,0.5088074226395035,0.575538187010336,0.44653362909159766,0.3359492473400297,0.6499033086730889,0.7036421213912502,0.6563181632527197,0.6214773890934069,0.6694342910508024,0.5643875580243615,0.47243236675835776,0.5096731436149792,0.543719681441087,0.5225817368448283,0.5771444908953595,0.469958926199469
6VV2,-0.846278675987206,-0.5051548668611859,-0.2937717478014367,0.5071589057959017,0.5250308578190341,0.665278604724125,0.5834768016530225,0.6666015633857156,0.6525834253580765,0.8015241529811397,0.803545518418347,0.8154586665406637,0.828423546772693,0.8026612231019269,0.808190853657168,0.7931082084969374,0.7591440693537083,0.7697096894300252,1.0,0.8290418163828367,0.8467450015678789,0.8474586287656857,0.7996405508925243,0.8286386152262413,0.8072887063861078,0.8119287719305537,0.7249835716037002,0.7623581812860053,0.7298896390053801,0.7266382874233813,0.6922594466206555,0.6832787960024566,0.708712825616867,0.6892693354664303,0.7250180081447392,0.6978594635371759,0.667781346792691,0.7247922975154649,0.7403463943283177,0.6456246745532095,0.7029565340774212,0.6021458654960546,0.6435612187705639,0.6112398481592013,-0.07661011456515504,0.2572894518834922,0.18795501122072078,0.4189622655055644,0.5382900944371857,0.5621645719524533,0.4357409613951084,0.3292116056598703,0.6553960296923119,0.7364647612792798,0.6804597467362508,0.615900038660501,0.5573319921528582,0.5200112846088764,0.4999077845932784,0.5180370152320861,0.5783159521101948,0.5736489153203207,0.46823307968173045,0.43102090348615674
9Q6R,-0.9539908688254212,-0.5332447749153655,-0.31395142228654066,0.5615942178309878,0.5957181469346212,0.7737128021364028,0.6849974422376897,0.7586553509895302,0.7333646493934908,0.9238648550747711,0.918000612584677,0.9372601021000276,0.9543970786000094,0.8592554101915362,0.8765342106978634,0.8465300508689456,0.837131566249466,0.8349118309959674,0.8290418163828368,0.9999999999999998,0.9683924113701541,0.9582179571241207,0.8708027397385586,0.92211604532597,0.924120906921845,0.9353794718190702,0.8355204292530839,0.8712252908424188,0.8355574329747281,0.8397899802294282,0.82883375007435,0.8015775121729727,0.8103286491106698,0.7668176162051356,0.7966926054978025,0.8036983734337996,0.7433254126913547,0.772531179365526,0.8085631223733787,0.6812985053212688,0.7670113245364901,0.7449242347203883,0.7283686677299824,0.682029683827509,-0.11919497295638491,0.29014295284607833,0.19679009955740015,0.47241804968572104,0.47761270181394255,0.5959503034888876,0.4176031281808776,0.36620262911569046,0.7409999894866142,0.7796401938898262,0.6609879224824464,0.7224254376459001,0.6306689449319517,0.5670940849219606,0.6390288766806222,0.666832663165152,0.6333210696615421,0.621259737904444,0.546764479919494,0.4573520239053383
