,U26C,50GV,B5I6,9Q6R,X19V,0C7Q,O21U,R7D1,2T6S,6VV2,DC61,X1Y5,3TR7,Q6O0,L3V8,3C6G,6FH5,C22U,I52Y,C88N,J7F9,R9K3,1KB2,08MQ,V55J,0H5E,R42Q,4TQ6,9U7M,94GU,0ED6,R5K7,IZ20,Q58J,E6R3,I07H,4SZ2,51PW,2T7P,0I4U,XU70,L9G5,B23O,O03M,I9D6,3PQ2,UI76,L7J7,SM54,0JO0,K9P0,27SS,P5F3,43FJ,46CD,80GC,AO86,1P0Y,T54A,O6R6,E3B6,UK24,98BT,9T8E
DC61,0.8554400654068831,0.8360986301116435,0.8629703366315452,0.7935782515651346,0.7893717416718191,0.699976472477,0.7975071379572228,0.714938286844589,0.7328138773456939,0.6727715752995713,0.9999999999999999,0.8243196101350587,0.7785587200727611,0.7720430316046325,0.6470384803600042,0.6711353585108528,0.7038811086997706,0.6250589922438563,0.6345206212760917,0.6738324838092685,0.7177084379631139,0.7437636706382992,0.519373497870875,0.6089911273309533,0.5936666699117131,0.5764985467151683,0.5695552852085931,0.6293053189822624,0.6134042655780477,0.43781203945092645,0.39494727901476917,0.4262338077119654,0.25614461440756675,0.317488656107168,0.10590845576494604,0.3125599209933989,0.5837218464302427,0.5499407197425129,0.5741255309573018,0.5442553785109469,0.5053165387312322,0.42917773267313875,0.5260522209700113,0.4954647441938016,0.4914997895639947,0.6279242355533989,0.6593619491511311,-0.8241802460678873,-0.6721467070210402,-0.8253120242050878,-0.6960592054446444,-0.4860981743896616,-0.4779468848726952,-0.5232556871590568,-0.608424456960954,0.07009085202381375,0.3637564826217594,0.10287504675955632,0.10351300381657752,-0.23376279205699743,-0.06762328970028526,-0.04555998437370475,0.032703988990546995,0.06638663364253905
X1Y5,0.8479519049603362,0.866109877048614,0.867175312971349,0.8440780552506189,0.808105639737219,0.7657087315695051,0.8471662984676354,0.7685589179803161,0.6674319586690947,0.735737683215516,0.8243196101350586,1.0,0.7686530170222814,0.7913941914055268,0.6472308827456927,0.6681005786414159,0.7029955900188452,0.6630370310734484,0.672514662877622,0.6960300253096484,0.7403462846585627,0.7918072073673246,0.572648251564259,0.6223815691869659,0.6102460646984298,0.5827369631173671,0.5738718489119048,0.6084638845941998,0.6142432765507337,0.4161901795736362,0.401762592744752,0.4253019921693303,0.17577020548595196,0.2905943100839387,0.10087329530768116,0.3221855120824678,0.5679825408233413,0.549080268770644,0.5611223187486765,0.5355443058511035,0.4782448053344903,0.4380666382291305,0.5773937795790108,0.5577057506602721,0.5524595901130402,0.6844888938086522,0.7080288054722965,-0.8161996562905554,-0.7041628510768323,-0.8299124146092999,-0.7388528918816326,-0.4776981170277473,-0.4707274128315023,-0.5456907491339648,-0.5916422710860513,0.0948795163021361,0.4370553965105161,0.1403527497641237,0.13490075518409844,-0.27002407001362705,-0.08209781500156299,-0.03499738178085921,0.04062412370087607,0.027380190327354146
3TR7,0.938630836879999,0.8926646845008257,0.888036139773855,0.8735204818147573,0.8445826058116888,0.8107551527809548,0.8169607542639301,0.7959752330046985,0.7985971815012529,0.7144332879274179,0.778558720072761,0.7686530170222815,1.0,0.9762405542869975,0.8281846040434825,0.8714046456363332,0.905886538593709,0.7684146130636552,0.7937498124424665,0.8616133550541382,0.898126529135349,0.8697087503007676,0.6996348261444407,0.7711104747309309,0.7739321361739808,0.8159924910629646,0.8150295517750811,0.8421492543503273,0.8244730127266243,0.5146863641629649,0.5060475942041072,0.571016440171648,0.3394856103481657,0.4773945988373938,0.2782242480918423,0.3641603958579051,0.7605676846790749,0.7121667112579019,0.6024735378897432,0.699700449836392,0.6154347690092109,0.43814619002740274,0.5318280178595012,0.48361117566330414,0.45042759940341603,0.5428840231998916,0.5707246472879562,-0.9762576121631029,-0.7441171970071495,-0.7414134247319873,-0.7023881009359427,-0.5599455233359024,-0.5989082407954824,-0.6721368377187174,-0.7891599523003838,0.11122062364798198,0.21244896014655756,0.04415022532491571,0.19154097309109458,-0.1077077884889933,-0.1813834243258048,-0.029315742154047548,-0.03363156552564113,-0.05150924496129769
Q6O0,0.9255275721170355,0.8927142173782238,0.8894710807296912,0.8796541909626281,0.8413038267211453,0.8271383747558365,0.8200450764142743,0.7923804923725668,0.7538193555856258,0.7223072611801499,0.7720430316046325,0.7913941914055268,0.9762405542869976,0.9999999999999999,0.8385491151173806,0.8705275503453983,0.8935150619561061,0.7837419199773483,0.8034926304389876,0.8563874577859115,0.9059992709311379,0.8740503208061228,0.7353313850994818,0.7832448710543884,0.7806141949107556,0.82292552061933,0.8216026651354914,0.833461598943171,0.8323797811827035,0.5307697604522276,0.4944250928997019,0.55774652465793,0.28789552169833066,0.4605594864920712,0.29894208433702796,0.3698567582486476,0.7546453716677632,0.7168844168553252,0.5964488405141122,0.6906717570775053,0.6059661418762452,0.44656998994973746,0.5372264001133493,0.48368905005938967,0.4519386198392961,0.5643368881301053,0.5691752359828566,-0.9557326783795567,-0.7487136625836792,-0.7433866216843733,-0.7038767412220397,-0.5505088293975064,-0.60011526039652,-0.6874965217508113,-0.7979594552835233,0.11624097017176885,0.2325652888073689,0.06473280677032367,0.2024443480200334,-0.10530572793952361,-0.1921355408462842,-0.0165884812923253,-0.03828054266137721,-0.07426339320275953
L3V8,0.7649896716990419,0.7572873626168115,0.7539557897099157,0.7645273573966388,0.7300022097942187,0.7281841839080839,0.7228695295782216,0.6824741043324792,0.6067285971300997,0.618684900643513,0.6470384803600042,0.6472308827456927,0.8281846040434825,0.8385491151173806,1.0,0.8893866268647558,0.8379534042566305,0.7091956320983814,0.7603220190008143,0.7471482308482377,0.7399862573088926,0.7228727305447555,0.7000461215763929,0.7432111392025055,0.83475017786356,0.8125640725650475,0.7492695785021658,0.7850081425619239,0.8076413194879086,0.5026790642299427,0.4567668669018782,0.5083572338497077,0.32376250638738235,0.4746181255399379,0.27819516467388417,0.3409801636486863,0.6549172135580552,0.6231557043334824,0.537094619118296,0.7249417075366127,0.5984290118389528,0.4321663729310546,0.4575532531437294,0.4273451453537904,0.3561075995013291,0.5073702517691444,0.45292858697362776,-0.8111864172358274,-0.6366834853368373,-0.6004787369213545,-0.6012904432786799,-0.4569068871032699,-0.5715256842723256,-0.7024609188300363,-0.7705155401916259,0.10599678200552484,0.16892287279542395,0.06146210976874425,0.2175259884909909,-0.09308696280267967,-0.14844269610080613,-0.015617849110966713,0.018847118573074747,-0.06133498702763352
3C6G,0.8097873429841668,0.7821409336137042,0.7805442562891985,0.7726438351143751,0.7378587069723972,0.7601373729377094,0.7036813640856381,0.6986145107195546,0.6715241005039989,0.6299412253962154,0.6711353585108527,0.6681005786414159,0.8714046456363331,0.8705275503453984,0.8893866268647557,1.0,0.9204488481983423,0.7652091284205141,0.805123031713336,0.7470368246971549,0.8018996617261431,0.7741007357879931,0.7125262744368254,0.802977154385318,0.8446622923031574,0.81532274396158,0.7643479802200163,0.812401167392821,0.835025427728674,0.5549281795019887,0.5270078580659522,0.5774952960728219,0.3217015702529328,0.4508297959045235,0.311599384340786,0.329703762774145,0.6705334990844461,0.6439062249881269,0.5759394693854001,0.7751346274156622,0.5913547412258852,0.4279627464984839,0.4744610674034876,0.4272574770935423,0.4044012419426725,0.506601327180089,0.49566649378582794,-0.8453959520051005,-0.6485370660335069,-0.6402706803566117,-0.6134182486588592,-0.48683928378522173,-0.6057921717012761,-0.7357777296663763,-0.826498160957277,0.09182577632131485,0.192368731474262,0.10231089952643488,0.1592829419453019,-0.0765721426855594,-0.20549535338246164,-0.03325819341280422,0.0051022987661345,-0.0859696080091849
6FH5,0.8596279343588383,0.8204656901666652,0.8187235575027063,0.8038734270829876,0.7743688337788471,0.762340963731954,0.7409780997890554,0.7464779679267375,0.7151480623825112,0.6578216689372736,0.7038811086997706,0.7029955900188452,0.905886538593709,0.893515061956106,0.8379534042566305,0.9204488481983423,1.0,0.7865840288101581,0.8213344286409365,0.8058193784729052,0.8464525008089687,0.8175553072021358,0.7249280666982413,0.802119589969185,0.8314797401089989,0.7686650971053761,0.7530999392337223,0.8232418039621114,0.824309221848156,0.5218002617308619,0.5103120859668281,0.5584423787993716,0.30578309710046775,0.4447519178489711,0.29924361728970905,0.34511806134960815,0.7209530406675317,0.6823507313704462,0.6009458853148667,0.7358684299557273,0.5983777901062323,0.46326036194815706,0.49475069019127044,0.4456818701023973,0.43056770321115073,0.5266056732027938,0.5296011392881849,-0.8880410837879721,-0.6948398470749922,-0.6843426024063783,-0.6538739237939932,-0.4942906647399857,-0.616672478991224,-0.6775638576714182,-0.8106262321959844,0.09802617952000668,0.216592417704577,0.11142318882553785,0.19038118086069689,-0.08845521643852869,-0.1854446840175327,-0.004660913793267193,0.011432629218179799,-0.036461606917782434
C22U,0.7429521708050929,0.7499661643198736,0.7370861393671622,0.7195080443044048,0.7086169243154536,0.7153970917221386,0.6838439566707182,0.7508423224548754,0.661187418172313,0.6290306696140994,0.6250589922438564,0.6630370310734484,0.7684146130636552,0.7837419199773482,0.7091956320983815,0.7652091284205141,0.7865840288101582,1.0,0.8795757131312446,0.7983689795692267,0.8405726434228861,0.8193143936972024,0.7291507398714188,0.7566740449030108,0.7001098051206227,0.6514136851040676,0.6434765149230272,0.724978829701375,0.6973003918470831,0.45058576040292786,0.3146412967426095,0.3478205502308165,0.237555118278397,0.38873023686733166,0.24111970017171477,0.31067001829039215,0.6462417752567419,0.5347801116347158,0.6634230110380044,0.620097590940247,0.5863045329767216,0.5494618300168762,0.4601163905289254,0.41487574646285796,0.49722062857287186,0.5236412562194566,0.5539765072554614,-0.7352717433343566,-0.6241944820114872,-0.6425940096632465,-0.6171343029494055,-0.4742699004740353,-0.6441884221206151,-0.6426740238827283,-0.7696511530598785,0.08677430695300305,0.26709464701354024,0.14295753702772312,0.2558100751014822,-0.10331058995939328,-0.12886411479672696,0.02179521599464865,-0.0025247177724229963,-0.01729094824382493
I52Y,0.7529438302085596,0.752472343918409,0.75189568010089,0.7320088667945279,0.7131089101325855,0.7280889873457583,0.6937758489237542,0.7356741627791932,0.6763246837219734,0.6373832079975388,0.6345206212760917,0.672514662877622,0.7937498124424665,0.8034926304389876,0.7603220190008143,0.805123031713336,0.8213344286409365,0.8795757131312446,1.0,0.7913239519601739,0.8252539109056545,0.8073162042808861,0.7208008889095662,0.7747415230440204,0.7402001577819605,0.6801218150832912,0.6859819827482556,0.7611281548153909,0.7387336324545783,0.475150780525903,0.40307297095238415,0.44129698691780944,0.23788637067895413,0.38136894658322945,0.27600628017944395,0.32368398307975726,0.6482181605700955,0.5730411900360833,0.6674372544173327,0.6667210294611016,0.5801788158204508,0.5430023604285609,0.46569802716164493,0.4224114277099961,0.48037204481090046,0.5097916583698324,0.537255127089568,-0.763829470073348,-0.6164257291767803,-0.6397171128624846,-0.6139256419446042,-0.4793952691192668,-0.6039358125051072,-0.645683330814981,-0.7756856756843671,0.09258906544744863,0.23051302255302705,0.09177704879873273,0.19457285322087783,-0.10432516144627176,-0.18588636406462045,-0.015777069001927987,0.028643340629392625,-0.03565595617180155
C88N,0.8206517958086273,0.7916389367315664,0.7919417912524076,0.7695398733910914,0.7615476951828821,0.7155777496633421,0.7384266837019519,0.8254581317484795,0.7700378316060495,0.6519579034134939,0.6738324838092685,0.6960300253096484,0.8616133550541382,0.8563874577859115,0.7471482308482377,0.7470368246971549,0.8058193784729052,0.7983689795692267,0.7913239519601739,1.0,0.9352007469434542,0.9031182349380414,0.688458323787511,0.7371020663426828,0.758889259698375,0.7137191390759596,0.6567748822009083,0.7581703814596127,0.6778482708904425,0.4059952513030875,0.2947690653301429,0.3316164498932604,0.2502656906894738,0.4031574782721711,0.21098198920507358,0.34462248431548537,0.7064018323508365,0.5628507345124852,0.5702095100356007,0.6116461021092706,0.5855003463016116,0.5223893393775683,0.4750317471030594,0.44521846736655,0.48344820969438024,0.4877103236698599,0.5850630919224529,-0.8271682943572672,-0.701634988952816,-0.6909978275419528,-0.6462418904247976,-0.4967731510773286,-0.5551569485119201,-0.611281291817946,-0.7730606633663181,0.09392622794363063,0.2867204815713989,0.09654265654339454,0.31129661574381057,-0.14014259098348936,-0.06170444360805864,0.07462694959997208,-0.004223821831366274,0.08852978410330326
J7F9,0.8655119391330317,0.8341619619096312,0.8336488763762651,0.7878532496519918,0.7864779237556533,0.7648628164768528,0.7636505403183149,0.841929244326383,0.7787331946668629,0.6866021880291286,0.7177084379631139,0.7403462846585627,0.8981265291353491,0.9059992709311379,0.7399862573088926,0.801899661726143,0.8464525008089688,0.8405726434228861,0.8252539109056545,0.9352007469434542,0.9999999999999999,0.957661274767448,0.7196616311968993,0.776436451333197,0.7373059300911955,0.7202559178766604,0.6986764216368172,0.7637025889569168,0.7157112790755537,0.46948667291471985,0.3269930497063507,0.3713550766829382,0.23887821627434042,0.39522067846351455,0.22888534448057432,0.3427167944219132,0.7119479240727199,0.5891770860203224,0.5883446382972637,0.6388235795764361,0.5850986472103291,0.500734397003001,0.4946527860470001,0.45546908243941575,0.5191927576679507,0.525031083013234,0.6113701355497597,-0.8617257928155833,-0.716979745017638,-0.7257171733214441,-0.6787954534688663,-0.5106540602240026,-0.5802761508878354,-0.6510793885054678,-0.8177417917111213,0.09994161292878138,0.31620195199576606,0.1326383920100966,0.29002556437590865,-0.11926537762702484,-0.12331691308466654,0.056612997368384085,0.008054779235159844,0.029472792228633467
