,2T6S,U26C,T54A,I07H,UK24,XU70,4TQ6,IZ20,P5F3,Q58J,43FJ,1P0Y,E3B6,R42Q,L9G5,4SZ2,80GC,08MQ,V55J,0I4U,9U7M,0H5E,L3V8,0C7Q,3PQ2,6VV2,B5I6,50GV,O21U,9Q6R,X19V,K9P0,E6R3,R7D1,L7J7,3TR7,Q6O0,98BT,3C6G,6FH5,C88N,J7F9,R9K3,46CD,C22U,I52Y,0JO0,2T7P,X1Y5,I9D6,27SS,UI76,0ED6,R5K7,51PW,94GU,DC61,O6R6,B23O,O03M,AO86,9T8E,1KB2,SM54
43FJ,-0.10870677671206949,-0.3215361694082482,0.11231140325473792,-0.11195020369101226,-0.584595000652713,0.46587130438777097,0.6062150319860502,0.4185409684486176,0.5560569544256616,0.4509948872170749,1.0,0.5475295114595002,0.5286899300847938,-0.0022300723116558518,0.17313222424436003,0.28018297501961575,0.36362055740841304,0.3398778183708761,0.29502524612890374,0.2885722925064972,0.3487489585026225,0.3119712437105005,0.370300315255389,0.3143893512159448,0.29971061463723897,0.27341408848407106,0.3449664660502647,0.3786775869809156,0.36977475233555884,0.3861395956051318,0.4120685535299371,0.3144304146179103,0.30808636638090303,0.31451311261508647,0.3509394047711559,0.35929348801792627,0.3436127032100727,0.3800484816807155,0.3852245880739544,0.38681412827913036,0.33222566182966784,0.3245191612867889,0.2875486695164584,0.2896971254318055,0.3621292683836204,0.3649354793938527,0.11256956996105269,0.13166828261985422,0.11010545907678287,0.11855731030481771,0.15707003265061154,0.11765869446154867,0.24560964067679186,0.2958000461406404,0.27678777177772296,0.3711445605788466,0.009600498300869459,0.06526991189881633,0.009057351455040991,0.10216643457177267,0.2632234282344497,0.1646007746991968,0.2142243981572184,0.18993073599883037
1P0Y,0.046020854571311415,-0.19760823174012085,0.1787176475185965,-0.027152062737136756,-0.5920926208194953,0.3575801024792694,0.5413946237409019,0.32262510637208214,0.5400718383724393,0.4314943489418773,0.5475295114595002,1.0,0.5693360495240344,-0.04867873440181315,0.17170902289775927,0.2432761737385762,0.33420218351637465,0.31085401548105,0.3035475079338607,0.08531265541373312,0.15896205168878258,0.1637309735571373,0.15890151480960765,0.14883570326000606,0.17477563870802718,0.16979199255095695,0.2067039904800872,0.20973560679785183,0.22616067072809248,0.25301127022008557,0.26657365761013757,0.18914698026015545,0.18512058425291367,0.19538848665320716,0.20929511267390719,0.18511255358059772,0.15645697963544877,0.1389481891372396,0.16948999634269063,0.2311216026110033,0.21404239720643517,0.1815771501823409,0.16831964042073919,0.1403012402958685,0.2122375197284025,0.21062829393066326,0.005515828377837936,-0.008582904191716388,-0.014200317092680851,0.029518853723065442,-0.008421225446408252,0.014950231496727667,0.16554835039551702,0.18524191241650972,0.1364891219501821,0.219357369621888,-0.06709240815987946,0.11773440834599033,-0.19363259158442997,0.04632018217692897,0.564027723682936,0.17235849546912912,0.30079248232759004,0.2348490295520467
E3B6,0.052360177869421994,-0.13840897133486524,0.44510020700727493,-0.061607703721448,-0.5151692194604721,0.3676974087072899,0.5243395363213581,0.33035203061528434,0.4784896219906637,0.40589961189613477,0.5286899300847938,0.5693360495240344,0.9999999999999998,-0.20516352962516066,0.10278890344090777,0.21946363748975856,0.33719278972029376,0.174595172768124,0.20473683373598092,0.07310097264234805,0.09611864283204422,0.16088042026770066,0.15427456805607626,0.09784238437093441,0.13620684189496005,0.11202720748724061,0.14612024077732222,0.15788722060147742,0.19989441974910244,0.21506657284923966,0.21132641707530567,0.1406047294512375,0.16158454941608233,0.183588950448296,0.15702038669694537,0.15150497103393135,0.10692999119438036,0.06779871295216991,0.08424247212960952,0.145445276937569,0.2405087040356474,0.15115602221601698,0.13497124271308542,0.07538630012997019,0.15495951300375654,0.1484966613087954,-0.019102701081670857,-0.07992575107522158,-0.09049597856765047,0.006069608806759744,-0.02348446364900542,-0.026721511572659333,0.15256338987281653,0.19792874926586065,0.12702660124067816,0.24237346591823997,-0.08487622231217075,-0.035430412860508124,-0.11404187158855532,0.035098854034273645,0.2900219641092065,0.20414059854437802,0.08313229084078802,0.11075073771919701
R42Q,-0.16976968663599584,-0.28006237328762407,-0.13602580230120076,-0.3105711300183661,-0.04545130287292218,0.3705372553765015,0.24314346179652516,0.5233788542786859,0.4529808181029869,0.5204982355709481,-0.0022300723116558518,-0.04867873440181315,-0.20516352962516066,1.0,0.18241118834513764,0.2736213624402673,0.13411364753762384,0.33472710970863423,0.2096590041207705,0.2394906431284366,0.20186819759850377,0.11467577340719046,0.14732801596071463,0.19286415524972064,0.12967654293370964,0.15357360937089173,0.23546696332351616,0.25727167370432413,0.2441174133058301,0.16371745052982906,0.25426463202779903,0.19218506225260437,0.19864876898315137,0.16459641681730308,0.30352636333061367,0.330429358273016,0.2522207099288885,0.27951267980610084,0.2609450677787849,0.26600333840891727,0.1542274429633788,0.2205561708891177,0.18492101163405408,0.1833576558436361,0.26774511499072295,0.21459806208448196,0.09186965108375827,0.12065955656792653,0.14285557200565002,0.08415002092953257,0.16385808914895833,0.11887807792005817,0.12245519850678613,0.137265888353028,0.17237178553216914,0.09847589412708735,0.14616297102705417,0.07362429701351689,0.14801284988128485,0.0657479739995524,-0.11197509007441435,0.168303257230668,0.19515144391531075,0.08019167675576408
L9G5,0.06962654355877687,-0.0934222069972824,-0.14470074504287464,0.07292377997034617,-0.19499952589241387,0.3405998746507692,0.29877968902265406,0.3359466751280919,0.3409916912672915,0.3233919083963907,0.17313222424436006,0.17170902289775927,0.10278890344090777,0.18241118834513767,0.9999999999999998,0.252535765574684,0.23857313532193158,0.2463499256097338,0.1564462405933495,0.10325109929288274,0.05569357307485246,0.0062273689637191805,0.02195176041737429,0.03657608329978934,0.06553879770606685,0.03943175813431325,0.1175591704133361,0.12251440810016705,0.08596940168058226,0.08847534157431347,0.13401037349884506,0.04658766891826773,0.09099799907741417,0.02377091710925949,0.09978897617634791,0.10726494270783522,0.06570720184910596,0.13533133989447957,0.11998896088630849,0.12362091946768776,0.06537014864029933,0.08759462212672273,0.032480365536985696,0.006533044301405869,0.1263047405055564,0.11643660384275707,0.012227350764176324,0.004926878197886417,-0.06198154350787421,-0.07098558874686065,-0.09641122372599834,-0.052077059993363865,0.09507928754881662,0.10552169773183855,0.0852705211065463,0.13664407423951813,-0.00936175113815354,0.056062433293986406,0.011362105165273856,-0.006667960078580941,-0.002787836772602276,0.1013396456461342,0.16241878442930122,0.06768187662745283
4SZ2,-0.03432671842848319,-0.2364801288497653,-0.187312383686629,-0.15029508231568972,-0.31469617379484593,0.48895574440104916,0.4903500258635817,0.49848754370065174,0.49402385125311793,0.5376294006774096,0.28018297501961575,0.2432761737385762,0.21946363748975856,0.27362136244026725,0.25253576557468405,1.0,0.3596529375835448,0.33714705775092124,0.3285528898940076,0.18462735146986842,0.2922586210234639,0.29327162170539545,0.3110702620445566,0.20223951545786123,0.17356418501010998,0.15230647481390688,0.22950179145680338,0.26657246886437275,0.2710555045159644,0.25563085485162074,0.3021946651635748,0.19163168243938403,0.2015005366751494,0.18754569900878326,0.2766866942168584,0.2981110286561506,0.2685865924697924,0.2633252675049575,0.27821863748457876,0.27703461673633145,0.23279897654719467,0.2357471882978056,0.16925233808397872,0.2201411044073817,0.2964891946184264,0.26576567420904695,0.0449388774099925,0.03688299887159563,0.034565449201494854,-0.009422325832659846,0.02716898372892439,0.010069572303589578,0.22192124466594118,0.2719298566464605,0.29074230889852487,0.2729687685383669,0.012314985238621885,0.08934990614353429,0.06766560516760624,0.061872453375713184,-0.031241394194359864,0.16679883524415004,0.15850414966580992,0.08697976835845378
80GC,0.14256896209016603,-0.10131195516617307,-0.2259503651746554,-0.08220301998540427,-0.4601355260492658,0.5841950377538847,0.5954535241469421,0.5166876529691459,0.5777439492137206,0.5562468974981291,0.36362055740841304,0.33420218351637465,0.3371927897202937,0.13411364753762384,0.23857313532193158,0.3596529375835448,1.0,0.22034224780406553,0.18278719744331906,0.07963710682930701,0.14547343027404439,0.1084317893649757,0.13185881764266474,0.08132563683771435,0.0824971300299552,0.06932515176918042,0.10703067666763152,0.15447599027499576,0.14439467930540092,0.13540406860913384,0.21230199944738545,0.08905172339750488,0.11467689397576691,0.10384076482741973,0.13562511722458132,0.1380114914681037,0.09674927776855127,0.1280529118615798,0.1110608749210488,0.13361759211339058,0.12257747206769173,0.08923147313488777,0.03580807866505234,0.053199775107010336,0.18995494501993923,0.1334362262218203,-0.029538757178082416,-0.10892581276587854,-0.15618505131508134,-0.08419714806371598,-0.10762940224174353,-0.1061597333906838,0.13493381890672337,0.1734820827532952,0.1447111167694675,0.21866660569530127,-0.1045228100409309,0.06740235219986207,-0.04431803769446654,0.01523701341057714,-0.0005357354273409224,0.08982554734141775,0.07989711067056528,0.022615111403903116
08MQ,-0.39042260361130393,-0.5203052631059667,-0.044574430012898424,-0.26165771981352226,-0.237204374764496,0.44274636717538507,0.3503557999846712,0.4381389761460077,0.4451245894186558,0.4436056362901461,0.33987781837087605,0.31085401548105,0.174595172768124,0.3347271097086343,0.24634992560973382,0.3371470577509213,0.22034224780406553,0.9999999999999998,0.7856467787467378,0.47128707581440693,0.5286755602828841,0.5370251701723715,0.5595399925031697,0.43220336165991513,0.335073291034923,0.3547271886263366,0.5051032340800887,0.5334477158283152,0.5270897435413409,0.49708668393676375,0.5234835899571121,0.41959980682292014,0.4430437903915306,0.401948672593395,0.5781991095654724,0.6164822851318731,0.5870438728148631,0.5534792364796333,0.5996173309051205,0.5967422859247397,0.5548983761284673,0.550427833458761,0.4640263469329161,0.4642607869829828,0.5597668772862665,0.570296930362624,0.22487140801710884,0.32055063556125274,0.3260682814459922,0.19593831476107282,0.2753696388886516,0.24700153883940074,0.22740869871013644,0.25662299537778993,0.35741434865879473,0.3262677742409769,0.17825840604463333,0.17652575837157325,0.15955817264965244,0.17419363881427008,0.2805898029159868,0.50425684416665,0.6718880990416154,0.46606349702369837
V55J,-0.37479660638038914,-0.5017790609524724,-0.05609752376599485,-0.26304632213715806,-0.22941218541960362,0.35394065396131735,0.3207020079497487,0.31949407858551837,0.34431778857215467,0.3455713404637594,0.2950252461289037,0.30354750793386065,0.20473683373598092,0.2096590041207705,0.1564462405933495,0.3285528898940076,0.18278719744331906,0.7856467787467378,0.9999999999999998,0.46067832311698037,0.5257638458084873,0.6321130386680012,0.6724342542245902,0.40326407347948784,0.3053828366576523,0.32792737428722146,0.4727527422973576,0.4828048308627556,0.5150957538436354,0.5017724173913336,0.4834774795658719,0.3907528038418808,0.4029040944613572,0.3950477177256464,0.580064213970796,0.6068761501733562,0.584257843215578,0.5182881692091487,0.6401816192740372,0.6316835135577055,0.6079138330956056,0.5356736180365665,0.46051450761679913,0.4903620622338023,0.4975012709034765,0.5618952541629153,0.20345796706401786,0.2828400732645983,0.3240313368554646,0.15513175755356132,0.258125109729997,0.2209265742398723,0.29798760896861326,0.33315149661748233,0.35709032040095623,0.33595922691653585,0.15098460844536488,0.18582143838986726,0.13588148875042724,0.1823291501364254,0.28957060220737585,0.5042943011143101,0.5753365578661414,0.4431462281605314
0I4U,-0.4979009086556171,-0.5085056909541004,-0.03275941895501303,-0.26416756228470495,-0.1091294230160846,0.2479697052777269,0.16590187277870336,0.2231588048722943,0.20812646789150843,0.1963971542083069,0.2885722925064972,0.0853126554137331,0.07310097264234805,0.2394906431284366,0.10325109929288276,0.18462735146986842,0.07963710682930701,0.4712870758144069,0.4606783231169804,1.0,0.49160725570862857,0.492355128073435,0.5359277571179044,0.444591796594053,0.3201013242077374,0.3391478592823828,0.4573291248791503,0.47272519647023814,0.45413324996274634,0.4059582814404081,0.4280282768524253,0.3919366048884364,0.40335324689387503,0.3858739781666507,0.5524330809323154,0.5957800476663566,0.5685400891663627,0.6001252506142821,0.6579210842924691,0.6260089874656869,0.46875526790660094,0.5092289514446026,0.4512025923840323,0.5029121002069536,0.45390688202022633,0.5007769670711022,0.29788339770209293,0.3902522042338093,0.3956021372472657,0.250250270037412,0.3444773177091403,0.2936813215988121,0.19349286350697176,0.21691672004300933,0.32339679778423946,0.3241778556623288,0.2261420571027188,0.11155889582221017,0.2123929607797238,0.1918992963449517,0.10666987754530874,0.2701672207789862,0.3344850429684985,0.2629993280210843
