,08MQ,0C7Q,0ED6,0H5E,0I4U,0JO0,1KB2,1P0Y,27SS,2T6S,2T7P,3C6G,3PQ2,3TR7,43FJ,46CD,4SZ2,4TQ6,50GV,51PW,6FH5,6VV2,80GC,94GU,98BT,9Q6R,9T8E,9U7M,AO86,B23O,B5I6,C22U,C88N,DC61,E3B6,E6R3,I07H,I52Y,I9D6,IZ20,J7F9,K9P0,L3V8,L7J7,L9G5,O03M,O21U,O6R6,P5F3,Q58J,Q6O0,R42Q,R5K7,R7D1,R9K3,SM54,T54A,U26C,UI76,UK24,V55J,X19V,X1Y5,XU70
2T7P,0.5295252230953876,0.5500377798852664,0.3485821270524376,0.46651941681938763,0.49757671361155015,-0.6133040772099405,0.46071761816155665,-0.006929850538808745,-0.49347104053917057,0.6496446504202101,0.9999999999999999,0.5759394693854001,0.43048536297056694,0.6024735378897431,-0.46105240822419646,-0.5325847033100948,0.506757006780049,0.5619368063767842,0.6019554673085539,0.4729916551001123,0.6009458853148667,0.501696969580075,0.04477497165274984,0.3599632823087763,-0.03116413104630526,0.5709732447777287,-0.030168727107469914,0.5313183446530301,0.1681315299250111,0.4001840640203164,0.5953599952696831,0.6634230110380045,0.5702095100356007,0.5741255309573019,-0.10226465386169162,0.14372974748291512,0.24811190643882944,0.6674372544173327,0.4483886928407331,0.2411178513070462,0.5883446382972637,-0.4943313868976009,0.5370946191182959,-0.5920409107768302,0.48963597192547126,0.33551649230780983,0.5492392113256489,-0.11629107486573682,-0.4330176600135031,0.27015096445054254,0.5964488405141122,0.4764962489816971,0.37874692705523394,0.5539293473792913,0.5845881196594258,-0.4525053212180662,0.025385209528159796,0.5915901114783076,0.541649212488436,-0.03135195101235392,0.49460952464875085,0.5738352630877606,0.5611223187486765,0.45423133309938435
3C6G,0.802977154385318,0.7601373729377094,0.5270078580659522,0.81532274396158,0.7751346274156622,-0.6402706803566117,0.7125262744368254,0.10231089952643488,-0.48683928378522173,0.6715241005039989,0.5759394693854001,1.0,0.506601327180089,0.8714046456363331,-0.7357777296663763,-0.826498160957277,0.6705334990844461,0.812401167392821,0.7821409336137042,0.6439062249881269,0.9204488481983423,0.6299412253962154,0.09182577632131485,0.5549281795019887,0.0051022987661345,0.7726438351143751,-0.0859696080091849,0.835025427728674,0.192368731474262,0.4744610674034876,0.7805442562891985,0.7652091284205141,0.7470368246971549,0.6711353585108527,-0.20549535338246164,0.311599384340786,0.329703762774145,0.805123031713336,0.4044012419426725,0.3217015702529328,0.8018996617261431,-0.6134182486588592,0.8893866268647557,-0.8453959520051005,0.4279627464984839,0.4272574770935423,0.7036813640856381,-0.0765721426855594,-0.6057921717012761,0.4508297959045235,0.8705275503453984,0.7643479802200163,0.5774952960728219,0.6986145107195546,0.7741007357879931,-0.6485370660335069,0.1592829419453019,0.8097873429841668,0.49566649378582794,-0.03325819341280422,0.8446622923031574,0.7378587069723972,0.6681005786414159,0.5913547412258852
3PQ2,0.4764604045052608,0.5858536319551866,0.28083116796304464,0.43166635440707773,0.3917386280200185,-0.6505031700370985,0.4365736837052424,0.14838555701251632,-0.35421878016107394,0.48101027307217636,0.43048536297056694,0.5066013271800889,1.0,0.5428840231998916,-0.42740049195700897,-0.4431922095336463,0.43678942731279063,0.4692743837640093,0.6814002249813274,0.3999253585332184,0.5266056732027938,0.5372467979616007,0.04995055941970074,0.37277041380285925,0.060451307883485836,0.6699246170958534,-0.009482621446999871,0.47492803217995794,0.34239365051083764,0.4881314164449194,0.6463429844541048,0.5236412562194565,0.48771032366985984,0.6279242355533989,-0.04598289960542425,0.08223008657244539,0.23168983821520214,0.5097916583698323,0.4074884326512321,0.10095148650142094,0.5250310830132339,-0.5925095913967714,0.5073702517691444,-0.590766238237866,0.330734879233719,0.4324036127159224,0.6615953691777141,-0.2380724811825298,-0.3660635096244267,0.1917019198857876,0.5643368881301054,0.40667530733037166,0.2887048193403583,0.5964837530427667,0.57348309752542,-0.5467119507103656,0.1514681719404087,0.6285798228371998,0.5830941302505617,-0.03346157382071566,0.45526915873491086,0.6520327917047736,0.6844888938086522,0.39998817865775077
3TR7,0.7711104747309309,0.8107551527809548,0.5060475942041072,0.8159924910629646,0.699700449836392,-0.7414134247319873,0.6996348261444407,0.04415022532491571,-0.5599455233359024,0.7985971815012529,0.6024735378897432,0.8714046456363332,0.5428840231998916,1.0,-0.6721368377187174,-0.7891599523003838,0.7605676846790749,0.8421492543503273,0.8926646845008257,0.7121667112579019,0.905886538593709,0.7144332879274179,0.11122062364798198,0.5146863641629649,-0.03363156552564113,0.8735204818147573,-0.05150924496129769,0.8244730127266243,0.21244896014655756,0.5318280178595012,0.888036139773855,0.7684146130636552,0.8616133550541382,0.778558720072761,-0.1813834243258048,0.2782242480918423,0.3641603958579051,0.7937498124424665,0.45042759940341603,0.3394856103481657,0.898126529135349,-0.7023881009359427,0.8281846040434825,-0.9762576121631029,0.43814619002740274,0.48361117566330414,0.8169607542639301,-0.1077077884889933,-0.5989082407954824,0.4773945988373938,0.9762405542869975,0.8150295517750811,0.571016440171648,0.7959752330046985,0.8697087503007676,-0.7441171970071495,0.19154097309109458,0.938630836879999,0.5707246472879562,-0.029315742154047548,0.7739321361739808,0.8445826058116888,0.7686530170222815,0.6154347690092109
43FJ,-0.6981876294117021,-0.646283098563998,-0.3256493699581565,-0.6861639784146946,-0.6363719321083389,0.5029353089636235,-0.6351829344992397,-0.17094505354200248,0.37713552955612845,-0.47026916400605295,-0.4610524082241965,-0.7357777296663763,-0.427400491957009,-0.6721368377187174,0.9999999999999999,0.6472286899720471,-0.4804094189169687,-0.6160675803118639,-0.6386383972857587,-0.43629898154973923,-0.6775638576714182,-0.5422628844609516,-0.08344883075883162,-0.38279540404518686,-0.0018835009313002125,-0.6404355474149357,0.06705734496298463,-0.6241787630388441,-0.21079595629671885,-0.3780310245424289,-0.639772349414149,-0.6426740238827282,-0.611281291817946,-0.5232556871590568,0.11317748678648928,-0.22879185256754714,-0.26188026899651407,-0.645683330814981,-0.32445417749489824,-0.2185573463466189,-0.6510793885054679,0.5212639941981656,-0.7024609188300363,0.6483157950711211,-0.39405368104557265,-0.35058987071937886,-0.5974521851660308,0.04910988215725781,0.5238569812250679,-0.339000804737023,-0.6874965217508113,-0.5880880449378822,-0.3604037063405227,-0.5986280211079326,-0.645352681005427,0.5634375544830464,-0.24018331177832244,-0.6328340009185842,-0.3851287980175599,-0.02245272321673707,-0.6683773190368882,-0.612202238211915,-0.5456907491339648,-0.5051102397420942
46CD,-0.729595767286649,-0.6767548466681698,-0.32759323175845445,-0.6993449555288529,-0.645475026454146,0.5882802755148967,-0.6894251800580438,-0.13606823111434255,0.4596893741978496,-0.6216884736206364,-0.5325847033100948,-0.826498160957277,-0.4431922095336463,-0.7891599523003838,0.6472286899720471,0.9999999999999999,-0.6686032090244787,-0.7419596721838763,-0.7012946626698224,-0.5781352666448095,-0.8106262321959843,-0.572695829780221,-0.1028258514346672,-0.5033035630495851,0.02039359252378307,-0.6691791574523919,0.05437895140138547,-0.7635952531234939,-0.19443937628349342,-0.4193533563069247,-0.7108782761429636,-0.7696511530598786,-0.7730606633663181,-0.608424456960954,0.15897136077536983,-0.26223392201631845,-0.2987475053848998,-0.775685675684367,-0.39210094068259915,-0.2728590912715789,-0.8177417917111213,0.5759505907321748,-0.7705155401916258,0.7399385997066581,-0.4380862783174112,-0.3860550222001577,-0.6371268721942396,0.07118281840149585,0.5780099666552976,-0.44026135080235623,-0.7979594552835233,-0.6936293147095398,-0.3751992416087496,-0.7090401098620067,-0.7865302441251036,0.6014707311001903,-0.25445563250753095,-0.7248926594007056,-0.471739030177241,-0.05289677034331286,-0.7246099056165517,-0.6751536129161333,-0.5916422710860513,-0.5604347401378816
4SZ2,0.5860295401379644,0.6142350739420408,0.43253130712744253,0.6165686808850166,0.5479420085847105,-0.6006319979047267,0.5404142438125648,-0.11750852475247944,-0.5000741148487006,0.661545139985982,0.506757006780049,0.6705334990844461,0.43678942731279063,0.760567684679075,-0.4804094189169687,-0.6686032090244787,1.0,0.8292992025412445,0.7093325771257412,0.7941144031457742,0.7209530406675317,0.5381584963956633,0.053476942304511624,0.4207689336419786,-0.07182471261138679,0.7066416697450767,-0.10366024837030621,0.7149676157212835,0.04435970679708018,0.47605668747839003,0.6936216580467831,0.6462417752567419,0.7064018323508365,0.5837218464302426,-0.17455129017123885,0.2706734064388695,0.3234753636082644,0.6482181605700955,0.4014916951444129,0.32774816801776163,0.7119479240727199,-0.5619040842117434,0.6549172135580551,-0.732952875642636,0.33833693054878883,0.39826626593920816,0.6202742330582115,-0.06135602495574905,-0.53150530251206,0.5052509480048349,0.7546453716677632,0.6864084962729899,0.4825493391163717,0.6533310761397595,0.6817561170895955,-0.5452155025606124,0.09992830432331012,0.7108052386953179,0.5000996871007022,-0.011989689091378493,0.5911533450318022,0.6716506256583511,0.5679825408233413,0.5583542854787064
4TQ6,0.7045950540075765,0.6955420023354119,0.49622575791064627,0.7391327305801051,0.6827239288582263,-0.6243215897728607,0.6402939329718481,-0.10418298487038813,-0.5120020703991638,0.6848454834654066,0.5619368063767842,0.8124011673928211,0.4692743837640093,0.8421492543503272,-0.6160675803118638,-0.7419596721838763,0.8292992025412445,1.0,0.7662454695505283,0.7036740820981114,0.8232418039621116,0.5797770361621857,0.06120338979141597,0.4733101621749427,-0.04762053363981121,0.7696493610912613,-0.11102465450450866,0.8084248717404425,0.030951058240896567,0.5028534878409103,0.7620489174988344,0.724978829701375,0.7581703814596128,0.6293053189822623,-0.21040774847897586,0.3040070889020359,0.3310029340149049,0.7611281548153909,0.39220392784988584,0.4330642653059608,0.7637025889569168,-0.5946078570462052,0.7850081425619239,-0.8126023581867704,0.38375495432121465,0.4236588758878205,0.6727512625904413,-0.06258812353651072,-0.664762836515328,0.5972548747302386,0.833461598943171,0.8016910257401308,0.5571811224979712,0.6957233752335119,0.7317598121413595,-0.5899355271678887,0.1368057157253753,0.7802686646913239,0.5012638725091427,-0.019951188756376664,0.7248220063298044,0.7266339599567007,0.6084638845941998,0.6515797149105003
50GV,0.7094747485492836,0.819617249808185,0.4597340024546119,0.6962066347295203,0.6331069923816947,-0.8271397321172246,0.6468028178046995,0.08005301159321275,-0.5624490668012545,0.7316944816616744,0.601955467308554,0.7821409336137042,0.6814002249813272,0.8926646845008257,-0.6386383972857586,-0.7012946626698225,0.7093325771257412,0.7662454695505283,1.0,0.6417590281864277,0.8204656901666652,0.7672751667474137,0.10896423631861028,0.488830149637182,-0.012547901399076168,0.946049690531947,-0.029672280548287678,0.7441026230741689,0.3159417060738898,0.6147886761115932,0.9502880507211047,0.7499661643198736,0.7916389367315664,0.8360986301116436,-0.128383069843892,0.19581627804782015,0.3641509146118965,0.7524723439184091,0.5166905364918328,0.2778616585100447,0.8341619619096312,-0.8175804271172328,0.7572873626168116,-0.9300289537913582,0.4449961303423232,0.5765572275120331,0.9244476385792593,-0.214017096236802,-0.5816689044922917,0.42806430111865296,0.8927142173782238,0.7262597607227235,0.4954783423978125,0.8712212136103208,0.859996732118083,-0.788662841469106,0.21164319827993006,0.9498861837093513,0.7095923086352997,-0.022367497177679132,0.6997715367856019,0.9341900089787651,0.866109877048614,0.6147028205090089
51PW,0.532014544639223,0.5727623573493162,0.5499060357227384,0.5824744260467684,0.524166227366579,-0.5294258180973558,0.4951319348509579,-0.1202864783021272,-0.4476397456922135,0.5779010040783974,0.4729916551001124,0.6439062249881269,0.3999253585332184,0.7121667112579019,-0.43629898154973923,-0.5781352666448094,0.7941144031457741,0.7036740820981116,0.6417590281864277,0.9999999999999999,0.6823507313704461,0.4970256598151364,0.0757048169587141,0.433659146993892,-0.04820313980531522,0.6507893414843621,-0.13471269359516516,0.7198836818581436,0.04364690795645218,0.41688629286164725,0.6259449230536962,0.5347801116347158,0.5628507345124852,0.5499407197425129,-0.22524043336391977,0.2779186485694706,0.3148083245204903,0.5730411900360833,0.34024653776192043,0.20626886021642948,0.5891770860203224,-0.49329417017886595,0.6231557043334824,-0.6920838513927612,0.30254527829299455,0.35535839706625033,0.5626605970469277,-0.049521880545782146,-0.4053933888022387,0.36435952824383383,0.7168844168553252,0.6403693308415069,0.6129992100633831,0.5164512374863328,0.5571005706069979,-0.49127258254552314,-0.00893038860574064,0.6480486556356355,0.4147594808008794,-0.07813928203636737,0.5520556646670739,0.5989684825773004,0.549080268770644,0.44031484730312015
