,08MQ,0C7Q,0ED6,0H5E,0I4U,0JO0,16IN,1KB2,1P0Y,27SS,2T6S,3C6G,3PQ2,3TR7,43FJ,46CD,4SZ2,4TQ6,50GV,51PW,5G9K,6FH5,6VV2,80GC,94GU,98BT,9Q6R,9T8E,9U7M,AO86,B23O,B5I6,C22U,C88N,DC61,E3B6,E6R3,I07H,I52Y,I9D6,IZ20,J7F9,K9P0,L3V8,L7J7,L9G5,O03M,O21U,O6R6,P5F3,Q58J,Q6O0,R42Q,R5K7,R7D1,R9K3,SM54,T54A,U26C,UI76,UK24,V55J,X19V,X1Y5,XU70
2T6S,0.9656823483585212,0.7495218462642735,0.9991859350586259,0.9070040221810813,0.9988314229067371,0.9993960163338191,0.9940827107487209,0.9602464953628935,0.9838149884236465,0.9961879001938875,1.0,0.9540228375852908,0.9957108406314693,0.9973783607533164,0.9262220821680388,0.9507184341942289,0.858212646017428,0.5370202597129765,0.8605935671362859,0.898088698065064,0.9993960163338191,0.9490071471400499,0.9790137559468319,0.962417335206558,0.9913385240915079,0.9993960163338191,0.9295308622523338,0.9993960163338191,0.8518095438172643,0.9993960163338191,0.9650608579194075,0.9230927465063046,0.9422232726285982,0.96077607524411,0.9981661655352915,0.9993960163338191,0.9071572064442431,0.4887409566576069,0.9873250963966684,0.9994135231067519,0.7793271271823287,0.9501888543130124,0.9771536613227242,0.9194250775768875,0.9510641929596513,0.9770004770595624,0.9697570497586254,0.9189699014806353,0.7293277836863137,0.6949663651125029,0.6728202973525382,0.9920869386343841,0.9101727480819142,0.9944591063667756,0.9325245204238389,0.9761732820384886,0.9760376045482596,0.992712805766731,0.997277696808953,0.9993960163338191,0.9993960163338191,0.9331503875561858,0.8870638078106468,0.9988051627473379,0.7115102655339784
3C6G,0.9671923075239733,0.7921377082758893,0.9532875531221141,0.9310977184298176,0.9540534744379232,0.9534888810108411,0.9481755754257428,0.9596643951628786,0.9633014272396634,0.9554977832048774,0.9540228375852908,1.0,0.9571740567131909,0.9558916855958649,0.9494754533160016,0.9702778762533755,0.8717935251200308,0.57823557988997,0.8943860155897813,0.9052270847284043,0.9534888810108411,0.9766109513618081,0.9605835007418495,0.944354722233164,0.9598569696651392,0.9534888810108411,0.9434356166541931,0.9534888810108411,0.8919306906859591,0.9534888810108411,0.9453701150632651,0.9421882590827326,0.9599707636892023,0.9662950854111685,0.9549813334033604,0.9534888810108411,0.9323275692283453,0.5307878485489074,0.9634239746501928,0.9535063877837738,0.7990878971302022,0.9658530393946158,0.9642555463644997,0.9571740567131909,0.965161521863771,0.9368355632585357,0.9498037053084912,0.9378028124630716,0.709138097801587,0.7362517123812274,0.7099040191173961,0.9614807228546544,0.8706205713335347,0.949304762279907,0.9478823369791188,0.9683258710713707,0.9549900867898268,0.952609165670969,0.9561499104966233,0.9534888810108411,0.9534888810108411,0.9645006411855587,0.9153678829497162,0.9545874310123729,0.7502833908868494
3PQ2,0.9680807762503119,0.7533295693771528,0.9953782119457465,0.9088947536578214,0.9958290113487656,0.9955882932209399,0.9902749876358417,0.9633014272396634,0.9852505438041342,0.9927653260855294,0.9957108406314693,0.9571740567131909,1.0,0.9970107185217281,0.9275963638432618,0.9533707102935448,0.8611887974160003,0.5409067633040533,0.8644012902491651,0.9009948223719051,0.9955882932209399,0.9523246806108113,0.9812546228822275,0.964080478635172,0.993071694611853,0.9955882932209399,0.9332422981140829,0.9955882932209399,0.8555559932248789,0.9955882932209399,0.9649383105088781,0.9266378680251922,0.94595221526328,0.9637347198697496,0.996310447604417,0.9955882932209399,0.9109649295571224,0.4925486797704862,0.9892771015786732,0.9956057999938727,0.7824870996966952,0.9538390164694966,0.9799109780596368,0.9226200636371196,0.9537514826048328,0.9738580113181287,0.9691092991601126,0.9227251042747163,0.7308946398637973,0.6987565814524495,0.6766980475571487,0.9939163964058595,0.9088597401119558,0.9906513832538963,0.9363322435367183,0.9794032816445862,0.9785323196911805,0.9889400961997172,0.9971288892390243,0.9955882932209399,0.9955882932209399,0.9359689779983631,0.8907314767400638,0.9955664097547738,0.7153705089656561
3TR7,0.9679013318277508,0.7513381739560493,0.9973696073668501,0.9081113255690796,0.997820406769869,0.9975796886420434,0.9922663830569451,0.9627280804261149,0.985648822888355,0.9942840386374479,0.9973783607533164,0.9558916855958649,0.9970107185217281,1.0,0.9267866755951208,0.9522196399732147,0.8600202203227374,0.5389503814288152,0.8624098948280616,0.899799985119243,0.9975796886420434,0.95078846128596,0.9805412218852169,0.9638747740532119,0.9931373450103509,0.9975796886420434,0.9313384365576433,0.9975796886420434,0.85362587150904,0.9975796886420434,0.965161521863771,0.9249178275845468,0.944109627412105,0.9626361698682178,0.997864173702201,0.9975796886420434,0.9089822875224852,0.49055728434938267,0.9888613157215198,0.9975796886420434,0.7813097692169658,0.9521014692559184,0.9784185256671175,0.9212326518821969,0.9520577023235864,0.9754817645076439,0.969682645973661,0.9207774757859447,0.7311616181510222,0.6968177063501442,0.6747504190683771,0.9941045942148868,0.9104922466879374,0.9926427786749998,0.9344021218208794,0.9780683902084619,0.9784666692926826,0.9906601366403628,0.998918956771401,0.9975796886420434,0.9975796886420434,0.9352643303878188,0.8888626287294897,0.9965249055728435,0.7134141270904181
43FJ,0.9426303050992852,0.8147126919727069,0.9256180985018579,0.9371988287968908,0.9262177054748055,0.925688125593589,0.9203748200084908,0.9399867823864357,0.9342051706253857,0.9284935859560668,0.9262220821680388,0.9494754533160016,0.9275963638432618,0.9267866755951208,1.0,0.941137852706766,0.8614557757032252,0.594814493857311,0.9042948490697339,0.9002639146019616,0.925688125593589,0.9462191935505049,0.9378597094751032,0.9226113102506532,0.9302967835681429,0.925688125593589,0.9384111728224857,0.925688125593589,0.8989771667914024,0.925688125593589,0.9264890604552636,0.9393259017082234,0.9406607931443477,0.9421357387639343,0.9266466214116587,0.925688125593589,0.9309095206207901,0.5587636716954872,0.9341526503065873,0.9257143857529881,0.8008210676505473,0.9416849393609152,0.93911582043303,0.9512917810077773,0.9453263481309332,0.9137353763737346,0.9323144391486456,0.9340651164419235,0.6908872870191656,0.7528743932809006,0.7211958876590381,0.931421593729074,0.8490959940126837,0.9251279088597402,0.9387087879623429,0.938441809675118,0.93207372102082,0.9288699815741215,0.9268873395394843,0.925688125593589,0.925688125593589,0.9496986646708946,0.9223443319634284,0.9267166485033898,0.7653567223819715
46CD,0.9651308850111386,0.7905052016999077,0.9501232039145144,0.931557271219303,0.9508891252303234,0.9503332851897077,0.9450199796046095,0.9587846798230065,0.9599795170756686,0.9516419164664329,0.9507184341942289,0.9702778762533755,0.9533707102935448,0.9522196399732147,0.941137852706766,1.0,0.8748528336900339,0.5840784653562847,0.888937032514454,0.8951563135988235,0.9503332851897077,0.9679144619074505,0.9553796124875812,0.9428185029083127,0.9568414280274681,0.9503332851897077,0.9337149809832679,0.9503332851897077,0.8911910295295492,0.9503332851897077,0.9426609419519176,0.9387438015082085,0.9636953296306509,0.969030518681915,0.9513005343942438,0.9503332851897077,0.931850509665927,0.5326829567188807,0.9613450453644253,0.9503507919626405,0.7979718403557376,0.9695776053360644,0.9588328234485717,0.9509985425611533,0.953646441967236,0.9342751977171168,0.9464905485309629,0.93207372102082,0.7077856995925299,0.7384094221451925,0.7117378535821046,0.9570296258364955,0.8649615069830141,0.9458252911595173,0.9506702905686637,0.9651177549314391,0.9513005343942438,0.9475803451460284,0.9524428513281076,0.9503332851897077,0.9503332851897077,0.9564694091026466,0.90967380505333,0.9513880682589076,0.7533952197756507
4SZ2,0.8713120888643794,0.7948643881601695,0.8576349225106463,0.8588954101618064,0.8582782964159259,0.8577574699211757,0.8525667117466069,0.873640489664439,0.864331263157434,0.857087835856497,0.858212646017428,0.8717935251200308,0.8611887974160003,0.8600202203227374,0.8614557757032252,0.8748528336900339,1.0,0.658350949523597,0.8596832149437814,0.8572629035858248,0.8577574699211757,0.8773606789126543,0.866917888858252,0.8723187283080142,0.8637141494115536,0.8577574699211757,0.869009948223719,0.8577574699211757,0.8595825509994179,0.8577574699211757,0.8709006797004591,0.8794658683578209,0.8832954749368662,0.872988362372693,0.8587684860580437,0.8577574699211757,0.8766516546088768,0.6004691815145985,0.8652591221228713,0.8577749766941085,0.8237768236586529,0.8745158283110779,0.8692506663515448,0.876901126123169,0.8730540127711909,0.8517045031796676,0.8676400432417292,0.8722005575907179,0.6700673573088589,0.7799529943146755,0.7756025612408801,0.8633333771002657,0.8164064722539532,0.8562256272895576,0.8823763693578953,0.8700997448387845,0.8681696231229457,0.85625626414219,0.8602521850640966,0.8577574699211757,0.8577574699211757,0.8731459233290879,0.8688655173470237,0.8590748545843673,0.7815023437192263
4TQ6,0.5682304591588871,0.687368425659677,0.536468796365594,0.612920873763037,0.5370946634979408,0.5365300700708586,0.5321096099053321,0.5754520029936582,0.552146111526897,0.5390029017476136,0.5370202597129765,0.57823557988997,0.5409067633040533,0.5389503814288152,0.594814493857311,0.5840784653562847,0.658350949523597,1.0,0.6381043666268388,0.5945518922633194,0.5365300700708586,0.5832162567893454,0.5559231977871439,0.5736400519951156,0.5450077248635566,0.5365300700708586,0.5857284787051991,0.5365300700708586,0.6499783353684957,0.5365300700708586,0.5631097280760494,0.597961336291978,0.5932738978392266,0.574616054586118,0.53806628939571,0.5365300700708586,0.6153149249615946,0.6718749316141682,0.5496864099298416,0.5365563302302578,0.742155871552807,0.5846868257156987,0.5576344848413229,0.609051876944893,0.5787695364644196,0.553069593799101,0.5603392812594372,0.6039924195673201,0.5453884971748445,0.7846404327674269,0.7998625718324777,0.5447144864169325,0.5957992498347798,0.5384558150934643,0.5976418376859548,0.5606193896263617,0.5586805145240565,0.537506072661861,0.5392611266483721,0.5365300700708586,0.5365300700708586,0.5976374609927215,0.6219018482775523,0.5378912216663821,0.757426154243423
50GV,0.8841445534241059,0.8725506930493735,0.8601208842671009,0.8955195791371787,0.860554176897187,0.859989583470105,0.8546762778850068,0.8898255012407925,0.873259717353151,0.863521574909293,0.8605935671362859,0.8943860155897813,0.8644012902491651,0.8624098948280616,0.9042948490697339,0.888937032514454,0.8596832149437814,0.6381043666268388,1.0,0.8891689972558133,0.859989583470105,0.898044931132732,0.8810283478420714,0.8783235514239571,0.867749460572559,0.859989583470105,0.9290231658372833,0.859989583470105,0.9002595379087285,0.859989583470105,0.886709295658758,0.9334830162419085,0.9024391311388593,0.8916768424784338,0.8618671848671455,0.859989583470105,0.9366473654495083,0.6233855472836053,0.8713514791034782,0.8600070902430378,0.8131764726478556,0.9008022478696446,0.8826433476451202,0.9105578970864353,0.9080237917044156,0.8558711151376689,0.887317656018172,0.9355225552885773,0.6643251357869076,0.7989565963332064,0.7664990393158353,0.8682615336808428,0.8139905375892298,0.8617227539904501,0.9202785327573605,0.8836412337022885,0.8816323315082523,0.8667078075830587,0.8627206400476184,0.859989583470105,0.859989583470105,0.9021021257599033,0.9595418477523492,0.8613507350656285,0.8067471102882928
51PW,0.9025748086290883,0.8042173815995063,0.8978523566304714,0.8864729542241655,0.8980930747582971,0.8977648227658075,0.892512790885974,0.8999312859162388,0.8966443892981097,0.8996511775493143,0.898088698065064,0.9052270847284043,0.9009948223719051,0.899799985119243,0.9002639146019616,0.8951563135988235,0.8572629035858248,0.5945518922633194,0.8891689972558133,1.0,0.8977648227658075,0.9091223417059475,0.9071440763645435,0.889497249248303,0.9008066245628777,0.8977648227658075,0.9208081126385771,0.8977648227658075,0.8838425615910155,0.8977648227658075,0.9034501472757273,0.9101858781616138,0.8999750528485708,0.9015725458786868,0.8992310149989277,0.8977648227658075,0.8961410695762924,0.5715436159364155,0.9016600797433507,0.8977735761522739,0.7924353234157465,0.8981280883041627,0.9077261765645585,0.9051701877163728,0.9155123138264116,0.8864598241444659,0.9028155267569141,0.9023778574335947,0.6717786443630379,0.7500120359063913,0.7341246394698949,0.9029993478727083,0.835204369690524,0.8998043618124762,0.9015944293448528,0.9023078303418635,0.9030212313388742,0.9019620715764411,0.9000144430876695,0.8977648227658075,0.8977648227658075,0.901668833129817,0.8984913538425178,0.8984782237628183,0.7533820896959511
