study;year;scale;weeks;baseline;k_ad_arms;drugs;cls;all_n;all_sd;all_m;pooled_sd;pooled_m;placebo_n;placebo_sd;placebo_m
003-008 (FDA);;HAMD21;6.0;26.0;2;mirtazapine|mirtazapine;atypical;58.0;7.7;7.449999999999999;7.6336552237453805;7.455172413793103;28.0;7.7;9.6
D'Amico1990 (FDA 030-A2-0007);1990.0;HAMD17;6.0;26.1;2;nefazodone|nefazodone;atypical;87.0;8.05;12.0;8.10882154416231;12.074712643678161;47.0;8.05;9.8
Feighner1998;1998.0;HAMD17;6.0;27.5;1;nefazodone;atypical;58.0;9.13892772703669;12.2;9.13892772703669;12.2;59.0;8.44926032265547;7.7
Fontaine1994 (FDA 03A0A-003);1994.0;HAMD17;6.0;25.2;2;nefazodone|nefazodone;atypical;90.0;8.89;9.6;8.951264858766345;9.568888888888889;45.0;8.89;6.8
Mendels1995 (FDA 03A0A-004B);1995.0;HAMD17;6.0;25.1;2;nefazodone|nefazodone;atypical;156.0;8.85;11.399999999999999;8.917292009023454;11.399999999999999;75.0;8.85;9.5
Rickels1994 ( FDA CN104-005);1994.0;HAMD17;8.0;24.4;1;nefazodone;atypical;86.0;7.64;12.0;7.640000000000001;12.0;90.0;7.64;8.2
Rickels1995 (FDA CN104-006-1);1995.0;HAMD17;8.0;24.2;1;nefazodone;atypical;41.0;7.3;8.0;7.3;8.0;36.0;7.3;8.6
Cohn1996 (FDA CN104-006-2);1996.0;HAMD17;8.0;22.8;1;nefazodone;atypical;39.0;7.6;12.1;7.6000000000000005;12.1;42.0;7.6;9.2
CN104-002 (FDA);;HAMD17;6.0;23.3;1;nefazodone;atypical;57.0;7.86;10.8;7.86;10.8;57.0;7.86;8.2
03A0A-004A (FDA);;HAMD17;6.0;23.2;2;nefazodone|nefazodone;atypical;153.0;7.96;8.9;7.956575916158754;8.896078431372548;77.0;7.96;8.9
PAR 01 001 (GSK & FDA);1989.0;HAMD21;6.0;27.9;1;paroxetine;SSRI;22.0;7.93;13.36;7.93;13.359999999999998;21.0;7.93;11.33
Dunbar1993a (Claghorn1992, Rickels1989, Rickels1992, PAR 02-001 - FDA);1993.0;HAMD21;6.0;26.8;1;paroxetine;SSRI;51.0;9.49;12.27;9.49;12.27;53.0;9.54;6.81
Dunbar1993b  (Claghorn1992, PAR 02-002 - FDA);1993.0;HAMD21;6.0;25.0;1;paroxetine;SSRI;36.0;8.64;10.94;8.64;10.94;34.0;8.63;5.77
Dunbar1993c  (Smith1992, PAR 02-003 - FDA);1993.0;HAMD21;6.0;28.6;1;paroxetine;SSRI;39.0;10.3;10.08;10.3;10.08;37.0;10.34;7.95
Feighner1993a (Feighner 1989c PAR 03 001 - FDA);1993.0;HAMD21;6.0;24.8;1;paroxetine;SSRI;36.0;7.14;10.67;7.14;10.67;31.0;7.18;4.39
Feighner1993b (Cohn1990 Cohn1992 PAR 03 002 - FDA);1993.0;HAMD21;6.0;25.6;1;paroxetine;SSRI;35.0;7.33;9.0;7.33;9.0;36.0;7.32;5.06
Feighner1993c (PAR 03 003 - FDA);1993.0;HAMD21;6.0;25.6;1;paroxetine;SSRI;33.0;9.47;9.67;9.47;9.67;40.0;9.48;9.95
Feighner1993d (Shrivastava1992 PAR 03 004 - FDA);1993.0;HAMD21;6.0;27.6;1;paroxetine;SSRI;33.0;8.73;12.03;8.73;12.03;36.0;8.7;7.14
Feighner1993e (Peselow1989 PAR 03 005 - FDA);1993.0;HAMD21;6.0;25.6;1;paroxetine;SSRI;40.0;9.866306299725345;10.02;9.866306299725345;10.02;42.0;9.850725861579948;4.07
Feighner1993f (Fabre1992 PAR 03 006 - FDA);1993.0;HAMD21;6.0;29.7;1;paroxetine;SSRI;39.0;8.056047417933934;9.08;8.056047417933934;9.08;37.0;8.02924653999365;2.97
29060 07 001;;HAMD21;6.0;30.5;2;amitriptyline|paroxetine;SSRI|tricyclic;25.0;10.662098846542731;13.195;10.466093062838683;13.1996;11.0;9.386048156705781;10.91
Dunbar1993d (Kiev1992, PAR 02-004 - FDA);1993.0;HAMD21;6.0;28.8;1;paroxetine;SSRI;37.0;7.18;12.65;7.18;12.65;38.0;7.15;7.61
Miller1989 (MDUK/29060/III/82/006 (PAR-274) PAR UK 06 - FDA);1989.0;HAMD21;4.0;23.7;1;paroxetine;SSRI;19.0;5.9;6.0;5.9;6.0;22.0;7.2;6.2
MY-1045/BRL-029060/1 (PAR 128);;HAMD21;12.0;25.6;2;fluoxetine|paroxetine;SSRI;694.0;8.754999999999999;12.4;8.769631732840974;12.394812680115274;136.0;8.63;9.0
MY-1043/BRL-029060/115;;HAMD21;12.0;;2;fluoxetine|paroxetine;SSRI;550.0;8.21;10.8;8.204621313372341;10.802181818181818;113.0;8.19;9.1
Dunner1992 (PAR 29060.09);1992.0;HAMD21;6.0;25.19;3;paroxetine|paroxetine|paroxetine;SSRI;303.0;8.45;10.416666666666666;8.449456613755304;10.430693069306932;51.0;8.45;9.25
MY-1042/BRL-029060/CPMS-251;;HAMDunspecified;8.0;24.47;1;paroxetine;SSRI;120.0;7.67;10.23;7.67;10.23;123.0;7.56;8.25
Edwards1989 (MD/PAR/009 PAR-276);1989.0;HAMD17;6.0;26.8;1;paroxetine;SSRI;21.0;10.5;8.8;10.5;8.8;20.0;8.8;4.5
Golden2002a (29060/448);2002.0;HAMD17;12.0;23.0;2;paroxetine|paroxetine;SSRI;206.0;8.170007781354986;11.899999999999999;8.190789226935081;11.892233009708736;101.0;8.039900496896712;9.9
Golden2002b (29060/449);2002.0;HAMD17;12.0;23.8;2;paroxetine|paroxetine;SSRI;218.0;8.195314921801831;12.7;8.198372603065108;12.694495412844038;110.0;8.180709015727182;10.2
Kramer1998;1998.0;HAMD21;6.0;;1;paroxetine;SSRI;68.0;7.152326085255125;13.0;7.152326085255125;13.0;64.0;8.16326530612245;9.5
Jefferson2000 (29060/785);2000.0;MADRS;6.0;31.4;3;citalopram|citalopram|paroxetine;SSRI;296.0;10.583333333333334;14.700000000000001;10.560609776872159;14.703040540540542;101.0;11.05;12.1
Trivedi2004 (29060/810);2004.0;HAMD17;8.0;23.5;1;paroxetine;SSRI;143.0;7.1749;12.4;7.1749;12.4;142.0;7.149;10.0
