study,scale,is_change,drug,year,n_drug,m_drug,sd_drug,n_pbo,m_pbo,sd_pbo,base_drug,base_pbo,lnvr,lnvr_v,lnmr,g,g_v
Study 62a (FDA) - MILD depression (Dunlop1990),HAMD21,True,fluoxetine 40mg,unpublished,99.0,-6.04,8.45,56.0,-5.82,8.45,16.83,17.41,-0.00398886827458256,0.01419294990723562,0.037103750203376994,-0.025907669065166204,0.027686450825580834
Study 62a (FDA) - MILD depression (Dunlop1990),HAMD21,True,fluoxetine 20mg,unpublished,103.0,-6.23,8.45,56.0,-5.82,8.45,16.99,17.41,-0.004188948306595365,0.013992869875222816,0.06807607105601529,-0.048288553551711466,0.027310078633690487
Study 62b (FDA) - MODERATE depression,HAMD21,True,fluoxetine 60mg,unpublished,103.0,-7.2,9.02630118191504,48.0,-5.69,8.64651626561029,24.2,24.25,0.03724983605949023,0.01554025865665415,0.23537077788377006,-0.16865111428737065,0.030329347273613663
Study 62b (FDA) - MODERATE depression,HAMD21,True,fluoxetine 40mg,unpublished,97.0,-9.58,8.443527799015403,48.0,-5.69,8.64651626561029,24.19,24.25,-0.029186253558098223,0.01584663120567376,0.5209673438445295,-0.45466606902223483,0.031531454844720266
Study 62b (FDA) - MODERATE depression,HAMD21,True,fluoxetine 20mg,unpublished,97.0,-9.78,8.469719815900428,48.0,-5.69,8.64651626561029,24.72,24.25,-0.026089031969527457,0.01584663120567376,0.5416292359084863,-0.4770638670605485,0.03160365760412146
Study 89306 (FDA),MADRS,True,citalopram 20mg,unpublished,88.0,-17.94,12.910667369655751,88.0,-15.95,13.218490757016884,32.7,33.14,-0.023562766760494305,0.011494252873563218,0.11757402739979668,-0.15165223299789116,0.02259700757260681
Study 89306 (FDA),MADRS,True,citalopram 40mg,unpublished,97.0,-16.04,13.526314144378016,88.0,-15.95,13.218490757016884,31.3,33.14,0.02248152671154281,0.010955459770114941,0.0056267732075149105,-0.006698424229546281,0.021495511468791938
Study F1J-MC-HMAQ - Study Group B (starting page in the pdf document: 147),HAMD17,True,duloxetine,unpublished,81.0,-8.0,6.75,72.0,-7.1,6.9579307268756265,17.88,18.32,-0.031131869420877558,0.01329225352112676,0.11934675763256623,-0.13076077681519385,0.026030231980442922
Study F1J-MC-HMAQ - Study Group B (starting page in the pdf document: 147),HAMD17,True,fluoxetine,unpublished,37.0,-7.63,6.995176909842952,72.0,-7.1,6.9579307268756265,20.03,18.32,0.012185413280843698,0.02093114241001565,0.07199306124909602,-0.07550068528317809,0.04036926886461323
Thase1997 (VEN XR 209 FDA),HAMD21,True,venlafaxine,1997,91.0,-11.66,10.07674842387779,100.0,-6.78,10.07674842387779,24.53,23.63,0.0005050505050505048,0.010606060606060607,0.542187078970042,-0.48235889863098236,0.02143318977063146
