study,year,drug,scale,n_rand,base_mean,n_end,end_mean,end_sd,notes,is_change
PAR 29060/281,unpublished,amitriptyline,HAMD21,80.0,26.6,79.0,12.4,8.59,,False
PAR MDUK 032,unpublished,paroxetine,HAMD17,29.0,24.0,29.0,12.0,8.07,,False
PAR MDUK 032,unpublished,amitriptyline,HAMD17,30.0,23.2,30.0,12.2,8.07,,False
"Dunbar1993a (Claghorn1992, Rickels1989, Rickels1992, PAR 02-001 - FDA)",1993,paroxetine,HAMD21,55.0,26.8,51.0,-12.27,9.49,,True
"Dunbar1993a (Claghorn1992, Rickels1989, Rickels1992, PAR 02-001 - FDA)",1993,placebo,HAMD21,56.0,25.9,53.0,-6.81,9.54,,True
"Dunbar1993b  (Claghorn1992, PAR 02-002 - FDA)",1993,paroxetine,HAMD21,36.0,25.0,36.0,-10.94,8.64,,True
"Dunbar1993b  (Claghorn1992, PAR 02-002 - FDA)",1993,placebo,HAMD21,36.0,24.6,34.0,-5.77,8.63,,True
"Dunbar1993c  (Smith1992, PAR 02-003 - FDA)",1993,paroxetine,HAMD21,39.0,28.6,39.0,-10.08,10.3,,True
"Dunbar1993c  (Smith1992, PAR 02-003 - FDA)",1993,placebo,HAMD21,38.0,28.9,37.0,-7.95,10.34,,True
Feighner1993a (Feighner 1989c PAR 03 001 - FDA),1993,paroxetine,HAMD21,40.0,24.8,36.0,-10.67,7.14,,True
Feighner1993a (Feighner 1989c PAR 03 001 - FDA),1993,placebo,HAMD21,40.0,24.7,31.0,-4.39,7.18,,True
Feighner1993b (Cohn1990 Cohn1992 PAR 03 002 - FDA),1993,paroxetine,HAMD21,40.0,25.6,35.0,-9.0,7.33,,True
Feighner1993b (Cohn1990 Cohn1992 PAR 03 002 - FDA),1993,placebo,HAMD21,40.0,26.7,36.0,-5.06,7.32,,True
Feighner1993c (PAR 03 003 - FDA),1993,paroxetine,HAMD21,41.0,25.6,33.0,-9.67,9.47,,True
Feighner1993c (PAR 03 003 - FDA),1993,placebo,HAMD21,42.0,26.7,40.0,-9.95,9.48,,True
Feighner1993d (Shrivastava1992 PAR 03 004 - FDA),1993,paroxetine,HAMD21,40.0,27.6,33.0,-12.03,8.73,,True
Feighner1993d (Shrivastava1992 PAR 03 004 - FDA),1993,placebo,HAMD21,40.0,26.7,36.0,-7.14,8.7,,True
Feighner1993e (Peselow1989 PAR 03 005 - FDA),1993,paroxetine,HAMD21,40.0,25.6,40.0,-10.02,9.866306299725345,,True
Feighner1993e (Peselow1989 PAR 03 005 - FDA),1993,placebo,HAMD21,42.0,26.7,42.0,-4.07,9.850725861579948,,True
Feighner1993f (Fabre1992 PAR 03 006 - FDA),1993,paroxetine,HAMD21,40.0,29.7,39.0,-9.08,8.056047417933934,,True
Feighner1993f (Fabre1992 PAR 03 006 - FDA),1993,placebo,HAMD21,40.0,28.8,37.0,-2.97,8.02924653999365,,True
29060 07 001,unpublished,paroxetine,HAMD21,13.0,30.5,12.0,-13.08,10.219099764656375,,True
29060 07 001,unpublished,placebo,HAMD21,12.0,28.3,11.0,-10.91,9.386048156705781,,True
29060 07 001,unpublished,amitriptyline,HAMD21,13.0,30.4,13.0,-13.31,11.105097928429087,,True
Kuhs1989 (MDUK_29060_III_85_043),1989,paroxetine,HAMD21,12.0,24.6,10.0,8.8,6.5,,False
Kuhs1989 (MDUK_29060_III_85_043),1989,amitriptyline,HAMD21,12.0,25.0,10.0,14.9,8.9,,False
"Dunbar1993d (Kiev1992, PAR 02-004 - FDA)",1993,paroxetine,HAMD21,40.0,28.8,37.0,-12.65,7.18,,True
"Dunbar1993d (Kiev1992, PAR 02-004 - FDA)",1993,placebo,HAMD21,41.0,27.5,38.0,-7.61,7.15,,True
Guillibert1989 (PAR 290 MDF 29060 1727 M),1989,clomipramine,HAMD21,39.0,27.5,39.0,-16.6,9.4,,True
Guillibert1989 (PAR 290 MDF 29060 1727 M),1989,paroxetine,HAMD21,40.0,27.9,40.0,-14.9,12.3,,True
Pelicier1993 (PAR MDED/29060/III/86/1728M291),1993,clomipramine,MADRS,42.0,30.0,42.0,16.2,9.96,,False
Pelicier1993 (PAR MDED/29060/III/86/1728M291),1993,paroxetine,MADRS,41.0,29.5,41.0,13.9,9.96,,False
Miller1989 (MDUK/29060/III/82/006 (PAR-274) PAR UK 06 - FDA),1989,paroxetine,HAMD21,22.0,23.7,19.0,-6.0,5.9,,True
Miller1989 (MDUK/29060/III/82/006 (PAR-274) PAR UK 06 - FDA),1989,placebo,HAMD21,25.0,24.2,22.0,-6.2,7.2,,True
MDF/29060/III/070/88/MC,unpublished,paroxetine,MADRS,32.0,30.88,24.0,-20.0,8.59,,True
MDF/29060/III/070/88/MC,unpublished,clomipramine,MADRS,30.0,29.0,20.0,-15.0,8.22,,True
"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",1991,paroxetine,HAMD21,45.0,27.0,40.0,-15.5,9.6,,True
"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",1991,clomipramine,HAMD21,47.0,27.6,34.0,-15.7,6.6,,True
Geretsegger1995 (MY-060/BRL-029060/1),1995,paroxetine,HAMD21,44.0,26.8,44.0,13.6,8.59,,False
Geretsegger1995 (MY-060/BRL-029060/1),1995,amitriptyline,HAMD21,47.0,28.3,47.0,13.0,8.59,,False
DUAG1990,1990,paroxetine,HAMD17,62.0,23.12,56.0,13.12,7.52,,False
DUAG1990,1990,clomipramine,HAMD17,58.0,23.36,46.0,8.32,7.52,,False
MY-1045/BRL-029060/1 (PAR 128),unpublished,paroxetine,HAMD21,357.0,25.6,350.0,-11.8,8.79,,True
MY-1045/BRL-029060/1 (PAR 128),unpublished,fluoxetine,HAMD21,351.0,25.6,344.0,-13.0,8.72,,True
MY-1045/BRL-029060/1 (PAR 128),unpublished,placebo,HAMD21,140.0,25.7,136.0,-9.0,8.63,,True
MY-1043/BRL-029060/115,unpublished,paroxetine,HAMD21,284.0,,272.0,-10.6,8.25,base_mean:flagged-or-absent:*,True
MY-1043/BRL-029060/115,unpublished,fluoxetine,HAMD21,289.0,,278.0,-11.0,8.17,base_mean:flagged-or-absent:*,True
MY-1043/BRL-029060/115,unpublished,placebo,HAMD21,118.0,,113.0,-9.1,8.19,base_mean:flagged-or-absent:*,True
Tignol1993 (29060/087),1993,paroxetine,MADRS,89.0,30.74,89.0,-16.76,10.92,,True
Tignol1993 (29060/087),1993,fluoxetine,MADRS,87.0,31.6,87.0,-16.85,11.1,,True
Schoene1993 (Geretsegger1994 MY1021/BRC),1993,paroxetine,HAMD21,54.0,29.0,54.0,22.4,13.2,,False
Schoene1993 (Geretsegger1994 MY1021/BRC),1993,fluoxetine,HAMD21,52.0,27.9,51.0,23.0,9.6,,False
Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),1994,paroxetine,HAMD21,60.0,26.2,60.0,-16.4,8.4,,True
Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),1994,fluoxetine,HAMD21,62.0,26.4,61.0,-15.7,9.5,,True
Bignamini1992 (PAR 29060/078),1992,paroxetine,HAMD21,156.0,30.5,151.0,14.3,9.1,,False
Bignamini1992 (PAR 29060/078),1992,amitriptyline,HAMD21,153.0,30.9,152.0,14.4,9.0,,False
Staner1995 (063),1995,paroxetine,HAMD21,21.0,26.0,16.0,17.8,11.3,,False
Staner1995 (063),1995,amitriptyline,HAMD21,19.0,24.0,14.0,10.7,7.9,,False
Dunner1992 (PAR 29060.09),1992,paroxetine 20mg,HAMD21,106.0,25.19,104.0,-11.37,8.45,,True
Dunner1992 (PAR 29060.09),1992,paroxetine 30mg,HAMD21,104.0,25.18,99.0,-9.98,8.45,,True
Dunner1992 (PAR 29060.09),1992,paroxetine 40mg,HAMD21,106.0,25.03,100.0,-9.9,8.45,,True
Dunner1992 (PAR 29060.09),1992,placebo,HAMD21,53.0,24.5,51.0,-9.25,8.45,,True
Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),1994,paroxetine,HAMD21,55.0,26.0,45.0,-12.9,6.5,,True
Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),1994,fluvoxamine,HAMD21,65.0,26.5,48.0,-12.4,7.1,,True
DeWilde1993,1993,paroxetine,HAMD21,49.0,27.0,37.0,-17.3,9.5,,True
DeWilde1993,1993,fluoxetine,HAMD21,50.0,28.2,41.0,-15.0,10.3,,True
Gagiano1993,1993,paroxetine,HAMD21,45.0,25.0,43.0,-15.2,6.5,,True
Gagiano1993,1993,fluoxetine,HAMD21,45.0,24.5,43.0,-13.2,9.1,,True
Edwards1989 (MD/PAR/009 PAR-276),1989,paroxetine,HAMD17,21.0,26.8,21.0,-8.8,10.5,,True
Edwards1989 (MD/PAR/009 PAR-276),1989,placebo,HAMD17,21.0,25.5,20.0,-4.5,8.8,,True
29060/356,unpublished,paroxetine,HAMD17,68.0,24.6,64.0,12.0,9.6,,False
29060/356,unpublished,fluoxetine,HAMD17,70.0,23.8,68.0,12.6,9.07,,False
29060/299,unpublished,paroxetine,HAMD17,109.0,27.52,102.0,-14.3,9.35,,True
29060/299,unpublished,amitriptyline,HAMD17,108.0,28.16,100.0,-14.39,8.39,,True
"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",1993,paroxetine,HAMD21,78.0,28.6,68.0,-15.5,8.45,,True
"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",1993,amitriptyline,HAMD21,75.0,28.9,66.0,-15.2,8.45,,True
Christiansen1996,1996,paroxetine,HAMD17,71.0,23.8,56.0,8.1,5.9,,False
Christiansen1996,1996,amitriptyline,HAMD17,73.0,24.2,57.0,6.9,6.2,,False
Golden2002a (29060/448),2002,paroxetine 25-62.5mg,HAMD17,106.0,23.0,102.0,-12.7,8.079603950689663,,True
Golden2002a (29060/448),2002,paroxetine 20-50mg,HAMD17,106.0,23.3,104.0,-11.1,8.260411612020311,,True
Golden2002a (29060/448),2002,placebo,HAMD17,103.0,23.4,101.0,-9.9,8.039900496896712,,True
Golden2002b (29060/449),2002,paroxetine 25-62.5mg,HAMD17,108.0,23.8,108.0,-13.3,8.209920827876479,,True
Golden2002b (29060/449),2002,paroxetine 20-50mg,HAMD17,112.0,23.7,110.0,-12.1,8.180709015727182,,True
Golden2002b (29060/449),2002,placebo,HAMD17,110.0,23.5,110.0,-10.2,8.180709015727182,,True
Rapaport2003 (PAR487),2003,paroxetine 12.5-50mg,HAMD17,104.0,22.1,104.0,10.0,7.41,,False
Rapaport2003 (PAR487),2003,paroxetine 10-40mg,HAMD17,106.0,22.3,106.0,10.0,7.1,,False
Rapaport2003 (PAR487),2003,placebo,HAMD17,109.0,22.1,109.0,12.6,7.34,,False
Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),1997,paroxetine,MADRS,513.0,29.7,479.0,-17.3,8.7,,True
Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),1997,clomipramine,MADRS,506.0,29.1,474.0,-16.6,9.4,,True
Fava1998,1998,paroxetine,HAMD21,55.0,23.1,55.0,12.1,10.0,,False
Fava1998,1998,fluoxetine,HAMD21,54.0,23.9,54.0,13.1,10.3,,False
Fava1998,1998,placebo,HAMD21,19.0,23.7,19.0,12.2,9.0,,False
Kramer1998,1998,paroxetine,HAMD21,72.0,,68.0,-13.0,7.152326085255125,base_mean:flagged-or-absent:*,True
Chouinard1999 (29060/131),1999,paroxetine,HAMD21,102.0,25.91,100.0,-13.92,11.0,,True
Chouinard1999 (29060/131),1999,fluoxetine,HAMD21,101.0,25.45,98.0,-14.78,10.89,,True
Tsutsui2000,2000,paroxetine,HAMD17,116.0,23.6,106.0,-12.1,9.2,,True
Tsutsui2000,2000,trazodone,HAMD17,109.0,24.4,105.0,-9.7,9.2,,True
Miura2000,2000,paroxetine,HAMD17,109.0,23.8,102.0,-9.2,11.5,,True
Miura2000,2000,amitriptyline,HAMD17,119.0,23.9,114.0,-10.6,11.1,,True
Jefferson2000 (29060/785),2000,placebo,MADRS,105.0,31.7,101.0,-12.1,11.05,,True
Jefferson2000 (29060/785),2000,paroxetine,MADRS,103.0,31.4,97.0,-13.8,10.83,,True
Jefferson2000 (29060/785),2000,citalopram 20mg,MADRS,107.0,31.4,104.0,-15.0,10.2,,True
Jefferson2000 (29060/785),2000,citalopram 40mg,MADRS,100.0,31.0,95.0,-15.3,10.72,,True
Trivedi2004 (29060/810),2004,placebo,HAMD17,149.0,23.8,142.0,-10.0,7.149,,True
Trivedi2004 (29060/810),2004,paroxetine,HAMD17,154.0,23.5,143.0,-12.4,7.1749,,True
Sacchetti2002 (BRL-29060/109),2002,paroxetine,HAMD21,64.0,25.4,64.0,-8.5,7.5,,True
Sacchetti2002 (BRL-29060/109),2002,amitriptyline,HAMD21,65.0,26.2,65.0,-8.6,8.3,,True
NKD20006 (NCT00048204),unpublished,paroxetine,HAMD17,125.0,24.7,117.0,-11.1,7.9,,True
NKD20006 (NCT00048204),unpublished,placebo,HAMD17,125.0,24.5,118.0,-10.9,7.8,,True
Rapaport2009 (BRL-29060/874) (NCT00067444),2009,paroxetine,HAMD17,177.0,22.74,173.0,-12.11,7.996,,True
Rapaport2009 (BRL-29060/874) (NCT00067444),2009,placebo,HAMD17,180.0,22.41,178.0,-8.85,8.045,,True
"Higuchi2011 (PCR112810, NCT00866294)",2011,paroxetine 20-40mg,HAMD17,83.0,22.7,83.0,-12.5,7.1,,True
"Higuchi2011 (PCR112810, NCT00866294)",2011,paroxetine 25-50mg,HAMD17,161.0,22.7,158.0,-12.8,7.67,,True
"Higuchi2011 (PCR112810, NCT00866294)",2011,placebo,HAMD17,172.0,22.6,171.0,-10.4,8.11,,True
Grunebaum2011 (NCT00429169),2011,bupropion,HAMD17,40.0,17.6,38.0,10.1,6.5,,False
Grunebaum2011 (NCT00429169),2011,paroxetine,HAMD17,38.0,16.9,36.0,9.8,5.8,,False
Learned2012b Study2 (NCT00420641),2012,paroxetine,MADRS,166.0,30.3,166.0,-19.11,10.296981999380721,,True
Learned2012b Study2 (NCT00420641),2012,placebo,MADRS,156.0,31.8,156.0,-14.95,10.231565152221153,,True
Keller2006c (Study062) (NCT00048607),2006,paroxetine,HAMD17,164.0,28.3,161.0,-17.25,8.05,,True
Keller2006c (Study062) (NCT00048607),2006,placebo,HAMD17,161.0,28.3,154.0,-14.0,8.87,,True
Griebel2012b (Study DF15879) (NCT00361491),2012,paroxetine,HAMD17,80.0,24.9,79.0,-16.1,7.4,,True
Griebel2012b (Study DF15879) (NCT00361491),2012,placebo,HAMD17,79.0,24.8,76.0,-12.75,6.97,,True
Versiani2000 (Study 091),2000,reboxetine,HAMD21,28.0,35.7,28.0,12.6,10.3,,False
Versiani2000 (Study 091),2000,placebo,HAMD21,28.0,35.1,28.0,29.5,13.3,,False
Study 032a (CTN032-FCE20124),unpublished,reboxetine,HAMD21,24.0,23.2,22.0,17.18,4.75,,False
Study 032a (CTN032-FCE20124),unpublished,placebo,HAMD21,26.0,23.1,25.0,16.6,5.14,,False
Study 015,unpublished,reboxetine,HAMD21,112.0,27.5,110.0,14.04,9.22,,False
Study 015,unpublished,placebo,HAMD21,112.0,27.1,111.0,15.8,9.58,,False
Bosc1997b (Study 016 - Massana 1999),1997,reboxetine,HAMD21,79.0,28.6,76.0,9.4,7.3,,False
Bosc1997b (Study 016 - Massana 1999),1997,fluoxetine,HAMD21,89.0,27.4,87.0,10.6,8.7,,False
Bosc1997a (Study 014 - Andreoli2002),1997,reboxetine,HAMD21,126.0,26.8,126.0,-13.45,8.45,,True
Bosc1997a (Study 014 - Andreoli2002),1997,placebo,HAMD21,128.0,27.4,128.0,-8.64,8.45,,True
Bosc1997a (Study 014 - Andreoli2002),1997,fluoxetine,HAMD21,127.0,26.9,127.0,-13.38,8.45,,True
Study 049,unpublished,reboxetine,HAMD21,107.0,25.1,101.0,-9.3,5.443106736761622,,True
Study 049,unpublished,placebo,HAMD21,105.0,25.3,101.0,-8.3,5.443106736761622,,True
Study 045,unpublished,reboxetine 4mg,HAMD21,87.0,26.2,86.0,-8.6,8.45,,True
Study 045,unpublished,reboxetine 8mg,HAMD21,89.0,26.4,88.0,-10.5,8.45,,True
Study 045,unpublished,placebo,HAMD21,87.0,26.4,86.0,-11.3,8.45,,True
Clayton2003 (Study 050),2003,reboxetine,HAMD21,150.0,25.6,144.0,-10.8,8.45,,True
Clayton2003 (Study 050),2003,placebo,HAMD21,150.0,25.5,143.0,-11.1,8.45,,True
Clayton2003 (Study 050),2003,fluoxetine,HAMD21,150.0,26.0,144.0,-13.1,8.45,,True
Baldwin2006a (97-CRBX-052 - Study 052),2006,reboxetine,HAMD17,159.0,24.2,152.0,-11.5,7.11069730894219,,True
Baldwin2006a (97-CRBX-052 - Study 052),2006,paroxetine,HAMD17,166.0,24.1,164.0,-13.2,7.11069730894219,,True
M/2020/0046 (Study 046),unpublished,reboxetine,HAMD21,265.0,23.0,252.0,-11.5,8.45,,True
M/2020/0046 (Study 046),unpublished,placebo,HAMD21,257.0,23.0,247.0,-11.5,8.45,,True
M/2020/0046 (Study 046),unpublished,paroxetine,HAMD21,265.0,22.8,243.0,-12.5,8.45,,True
M/2020/0047 (Study 047),unpublished,reboxetine,HAMD21,258.0,24.2,238.0,-11.0,6.905073718273085,,True
M/2020/0047 (Study 047),unpublished,placebo,HAMD21,254.0,23.7,239.0,-10.1,7.270673617699992,,True
M/2020/0047 (Study 047),unpublished,paroxetine,HAMD21,262.0,23.9,242.0,-11.8,7.636273517126899,,True
Study 043,2006,reboxetine,HAMD21,183.0,27.4,156.0,-13.0,8.0,,True
Study 043,2006,citalopram,HAMD21,176.0,27.4,164.0,-15.0,7.6,,True
Schwartz2002 (iQWIG),2002,reboxetine,HAMD17,80.0,28.6,80.0,13.4,8.1,,False
Schwartz2002 (iQWIG),2002,venlafaxine,HAMD17,87.0,28.8,87.0,12.2,7.7,,False
Studie009 (CTN009-FCE20124),unpublished,reboxetine,HAMD17,26.0,25.33,24.0,14.38,8.94,,False
Studie009 (CTN009-FCE20124),unpublished,placebo,HAMD17,24.0,25.27,23.0,15.09,8.52,,False
Studie032 (M2020/0032),unpublished,reboxetine,HAMD21,43.0,27.23,38.0,-14.05,8.45,,True
Studie032 (M2020/0032),unpublished,fluoxetine,HAMD21,42.0,28.33,40.0,-14.78,8.45,,True
Reimherr1990 (SER 104 - FDA),1990,amitriptyline,HAMD17,149.0,23.18,144.0,-12.64,7.97,,True
Reimherr1990 (SER 104 - FDA),1990,placebo,HAMD17,150.0,23.43,141.0,-8.16,7.85,,True
Reimherr1990 (SER 104 - FDA),1990,sertraline,HAMD17,149.0,23.28,142.0,-11.66,8.24,,True
Cohn1990,1990,sertraline,HAMD17,161.0,23.7,121.0,-13.3,7.76,,True
Cohn1990,1990,amitriptyline,HAMD17,80.0,25.2,64.0,-14.2,7.76,,True
Aguglia1993,1993,sertraline,HAMD17,52.0,24.8,48.0,9.2,5.5,,False
Aguglia1993,1993,fluoxetine,HAMD17,56.0,25.1,40.0,10.6,5.4,,False
Bersani1994,1994,sertraline,HAMD21,34.0,33.0,34.0,16.0,6.5,,False
Bersani1994,1994,amitriptyline,HAMD21,34.0,32.0,34.0,16.0,6.1,,False
Moon1994,1994,sertraline,HAMD17,51.0,23.9,47.0,-12.5,7.76,,True
Moon1994,1994,clomipramine,HAMD17,55.0,22.7,48.0,-11.3,7.76,,True
Doogan1994,1994,sertraline,MADRS,99.0,27.9,83.0,-15.4,9.96,,True
Doogan1994,1994,placebo,MADRS,101.0,27.4,90.0,-12.1,9.96,,True
Bennie1995,1995,sertraline,HAMD17,142.0,23.2,124.0,11.9,7.52,,False
Bennie1995,1995,fluoxetine,HAMD17,144.0,23.4,124.0,12.6,7.52,,False
vanMoffaert1995a,1995,sertraline,HAMD17,83.0,24.5,82.0,-10.8,7.76,,True
vanMoffaert1995a,1995,fluoxetine,HAMD17,82.0,23.2,82.0,-10.2,7.76,,True
Lydiard1997,1997,amitriptyline,HAMD17,131.0,22.1,104.0,-12.8,6.83,,True
Lydiard1997,1997,placebo,HAMD17,129.0,22.1,115.0,-8.8,6.97,,True
Lydiard1997,1997,sertraline,HAMD17,132.0,21.5,119.0,-11.1,6.87,,True
Ekselius1997,1997,citalopram,MADRS,200.0,28.3,200.0,10.4,9.85,,False
Ekselius1997,1997,sertraline,MADRS,200.0,28.3,200.0,11.0,9.85,,False
Moller1998 (Hegerl1997),1998,amitriptyline,HAMD21,79.0,29.1,59.0,-16.5,9.4,,True
Moller1998 (Hegerl1997),1998,sertraline,HAMD21,81.0,28.3,62.0,-13.6,9.8,,True
Aberg-Wisted2000,2000,paroxetine,MADRS,177.0,30.7,177.0,-18.3,10.5,,True
Aberg-Wisted2000,2000,sertraline,MADRS,176.0,30.3,176.0,-16.9,10.2,,True
Moller2000,2000,sertraline,HAMD21,116.0,27.1,100.0,11.7,6.41,,False
Moller2000,2000,amitriptyline,HAMD21,124.0,27.5,105.0,10.6,6.41,,False
Lepine2000,2000,sertraline,HAMD17,82.0,29.8,80.0,12.3,8.8,,False
Lepine2000,2000,clomipramine,HAMD17,84.0,29.6,82.0,12.7,9.2,,False
Sir2005,2005,venlafaxine,HAMD17,84.0,23.5,79.0,-14.3,8.35,,True
Sir2005,2005,sertraline,HAMD17,79.0,23.4,79.0,-15.9,8.44,,True
Shelton2006 (NCT00179283),2006,venlafaxine,HAMD17,78.0,22.4,76.0,9.7,6.4,,False
Shelton2006 (NCT00179283),2006,sertraline,HAMD17,82.0,22.1,82.0,10.8,6.4,,False
Schneider2003,2003,sertraline,HAMD17,371.0,21.4,360.0,14.0,6.5,,False
Schneider2003,2003,placebo,HAMD17,376.0,21.4,368.0,14.8,6.3,,False
Moscovitch2004,2004,sertraline,HAMD17,93.0,18.62,93.0,-9.36,7.71,,True
Moscovitch2004,2004,placebo,HAMD17,94.0,17.76,93.0,-6.87,8.0,,True
Barber2011,2011,sertraline,HAMD17,55.0,19.0,55.0,13.7,9.0,,False
Barber2011,2011,placebo,HAMD17,50.0,19.3,50.0,14.0,10.7,,False
Binnemann2008 (NCT00143091),2008,sertraline,HAMD17,43.0,23.3,30.0,-13.42,7.613,,True
Binnemann2008 (NCT00143091),2008,placebo,HAMD17,39.0,23.55,31.0,-10.18,7.572,,True
Brunoni2012,2012,sertraline,MADRS,30.0,30.5,30.0,21.67,13.14,,False
Brunoni2012,2012,placebo,MADRS,30.0,30.76,30.0,24.73,8.65,,False
Fabre1995 (SER 103 FDA),1995,sertraline 50mg,HAMD17,95.0,24.8,90.0,-10.6,8.6,,True
Fabre1995 (SER 103 FDA),1995,sertraline 100mg,HAMD17,92.0,24.9,89.0,-9.8,8.9,,True
Fabre1995 (SER 103 FDA),1995,sertraline 200mg,HAMD17,91.0,25.7,82.0,-9.2,8.2,,True
Fabre1995 (SER 103 FDA),1995,placebo,HAMD17,91.0,25.3,86.0,-7.6,7.5,,True
SER 315 (FDA),unpublished,sertraline,HAMD17,85.0,23.1,76.0,-8.9,4.52,,True
SER 315 (FDA),unpublished,amitriptyline,HAMD17,77.0,23.5,70.0,-11.6,11.490380462705867,,True
SER 315 (FDA),unpublished,placebo,HAMD17,80.0,22.2,73.0,-7.8,7.999580405317127,,True
Mao2015 (NCT01098318),2015,sertraline,HAMD17,19.0,15.4,19.0,-8.2,10.1,,True
Mao2015 (NCT01098318),2015,placebo,HAMD17,18.0,14.4,18.0,-4.6,8.66,,True
Davidson2002 (HDTSG) (NCT00005013),2002,sertraline,HAMD17,111.0,22.5,109.0,-10.53,7.52,,True
Davidson2002 (HDTSG) (NCT00005013),2002,placebo,HAMD17,116.0,22.7,116.0,-9.2,7.22,,True
Olie1997,1997,sertraline,HAMD17,129.0,25.4,129.0,-11.7,8.1,,True
Olie1997,1997,placebo,HAMD17,129.0,25.5,129.0,-7.7,8.1,,True
Rush2001,2001,bupropion,HAMD21,122.0,24.8,122.0,10.0,8.59,,False
Rush2001,2001,sertraline,HAMD21,126.0,24.8,126.0,10.6,8.59,,False
PZ/109,unpublished,sertraline,HAMD17,104.0,22.0,104.0,13.3,7.8,,False
PZ/109,unpublished,placebo,HAMD17,103.0,21.5,103.0,13.6,8.0,,False
PZ/111,unpublished,fluoxetine,HAMD17,108.0,24.4,108.0,13.4,7.0,,False
PZ/111,unpublished,sertraline,HAMD17,106.0,24.1,106.0,12.8,6.9,,False
PZ/111,unpublished,placebo,HAMD17,105.0,24.2,105.0,13.8,7.5,,False
Blacker1988,1988,amitriptyline,HAMD21,44.0,26.7,36.0,7.4,6.9,,False
Altamura1989b,1989,amitriptyline,HAMD21,37.0,29.03,32.0,10.63,9.43,,False
Altamura1989b,1989,trazodone,HAMD21,36.0,29.68,32.0,10.65,9.48,,False
Kasper2005b,2005,paroxetine,HAMD17,53.0,20.9,53.0,-15.0,4.95,,True
Kasper2005b,2005,trazodone,HAMD17,55.0,21.0,55.0,-14.6,4.89,,True
Munizza2006,2006,sertraline,HAMD17,60.0,21.9,59.0,9.5,6.29,,False
Munizza2006,2006,trazodone,HAMD17,62.0,21.7,62.0,8.6,7.32,,False
Sheehan2009b (NCT00775203),2009,trazodone,HAMD17,206.0,23.2,202.0,11.8,8.0,,False
Sheehan2009b (NCT00775203),2009,placebo,HAMD17,206.0,22.4,204.0,13.2,8.1,,False
Rickels1982,1982,amitriptyline,HAMD21,68.0,26.46,51.0,13.86,8.59,,False
Rickels1982,1982,placebo,HAMD21,68.0,26.46,54.0,18.69,8.59,,False
Rickels1982,1982,trazodone,HAMD21,66.0,26.46,49.0,14.91,8.59,,False
Zhang2014,2013,trazodone,HAMD17,192.0,21.6,183.0,10.8,6.4,,False
Zhang2014,2013,placebo,HAMD17,190.0,21.9,180.0,13.8,6.9,,False
Cunningham1994 (VEN 600A-302 FDA),1994,venlafaxine,HAMD21,76.0,25.02,65.0,-11.92,6.841198242473788,,True
Cunningham1994 (VEN 600A-302 FDA),1994,trazodone,HAMD21,77.0,24.66,71.0,-10.58,4.677857423703432,,True
Cunningham1994 (VEN 600A-302 FDA),1994,placebo,HAMD21,76.0,24.41,75.0,-8.8,5.75952783308861,,True
VEN 600A-303 (FDA),unpublished,venlafaxine,HAMD21,83.0,23.63,69.0,-10.14,8.45,,True
VEN 600A-303 (FDA),unpublished,placebo,HAMD21,82.0,24.59,79.0,-9.89,8.45,,True
VEN 600A-313 (FDA),unpublished,venlafaxine 75mg,HAMD21,76.0,25.57,72.0,-10.92,6.6270815894428745,,True
VEN 600A-313 (FDA),unpublished,venlafaxine 200mg,HAMD21,82.0,25.57,77.0,-11.83,9.771016960103386,,True
VEN 600A-313 (FDA),unpublished,placebo,HAMD21,79.0,25.39,75.0,-9.49,8.199049274773131,,True
VEN XR 367 (FDA),unpublished,venlafaxine 75mg,HAMD21,83.0,26.49,82.0,-15.59,10.717204886763948,,True
VEN XR 367 (FDA),unpublished,venlafaxine 150mg,HAMD21,82.0,27.11,75.0,-14.63,10.619192175884237,,True
VEN XR 367 (FDA),unpublished,paroxetine,HAMD21,81.0,26.13,80.0,-11.26,10.545710074911678,,True
VEN XR 367 (FDA),unpublished,placebo,HAMD21,83.0,26.6,81.0,-13.1,10.627369045853287,,True
Clerc1994,1994,fluoxetine,HAMD21,34.0,29.700000762939453,34.0,17.399999618530273,11.600000381469727,,False
Clerc1994,1994,venlafaxine,HAMD21,34.0,29.100000381469727,33.0,11.0,10.300000190734863,,False
Schweizer1994 (VEN 600A-301 FDA),1994,venlafaxine,HAMD21,76.0,25.39,64.0,-13.92,7.884666407619699,,True
Schweizer1994 (VEN 600A-301 FDA),1994,placebo,HAMD21,78.0,24.56,78.0,-9.45,7.884666407619699,,True
Guelfi1995 (VEN 600A-206 FDA),1995,venlafaxine,HAMD21,46.0,28.2,46.0,14.0,9.2,,False
