study,year,drug,scale,n_rand,base_mean,n_end,end_mean,end_sd,notes,is_change
Bougerol1997 (Study 91302 - FDA),1997,citalopram,MADRS,158.0,31.2000007629394,147.0,11.5,9.6899995803833,,False
Kyle1998 (Study 92032 - FDA),1998,citalopram,MADRS,179.0,27.8,179.0,12.7,9.96,,False
Kyle1998 (Study 92032 - FDA),1998,amitriptyline,MADRS,186.0,29.4,186.0,14.3,9.96,,False
Stahl2000,2000,citalopram,HAMD21,107.0,26.5,103.0,-13.4,6.1,,True
Stahl2000,2000,sertraline,HAMD21,108.0,26.6,106.0,-11.7,6.1,,True
Stahl2000,2000,placebo,HAMD21,108.0,26.4,107.0,-10.2,6.1,,True
Berlanga2006,2006,reboxetine,HAMD21,46.0,26.99,42.0,-14.29,4.82,,True
Berlanga2006,2006,citalopram,HAMD21,55.0,27.15,44.0,-15.38,4.22,,True
Hsu2011,2011,citalopram,MADRS,25.0,36.6,21.0,10.8,10.0,,False
Hsu2011,2011,sertraline,MADRS,26.0,38.2,21.0,16.7,11.3,,False
"Liebowitz2008 (Study 332, NCT00277823)",2008,desvenlafaxine 50mg,HAMD17,151.0,23.37,150.0,-11.5,7.1,,True
"Liebowitz2008 (Study 332, NCT00277823)",2008,desvenlafaxine 100mg,HAMD17,148.0,23.35,147.0,-10.9,7.15,,True
"Liebowitz2008 (Study 332, NCT00277823)",2008,placebo,HAMD17,152.0,23.02,150.0,-9.53,7.1,,True
"Boyer2008 (Study 333, NCT00300378)(EUCTR2005-005463-28, 3151A1-333-EU)",2008,desvenlafaxine 50mg,HAMD17,166.0,24.26,164.0,-13.16,7.555686600170761,,True
"Boyer2008 (Study 333, NCT00300378)(EUCTR2005-005463-28, 3151A1-333-EU)",2008,desvenlafaxine 100mg,HAMD17,158.0,24.44,158.0,-13.65,7.541883053985921,,True
"Boyer2008 (Study 333, NCT00300378)(EUCTR2005-005463-28, 3151A1-333-EU)",2008,placebo,HAMD17,161.0,24.29,161.0,-10.78,7.613146524269712,,True
"Lieberman2008a (Study 309)(EUCTR2004-000562-13, 3151A1-309-EU, NCT00090649)",2008,placebo,HAMD17,120.0,,120.0,-12.5,7.78,base_mean:flagged-or-absent:*,True
"Lieberman2008a (Study 309)(EUCTR2004-000562-13, 3151A1-309-EU, NCT00090649)",2008,venlafaxine,HAMD17,127.0,25.8,127.0,-13.8,7.78,,True
Lieberman2008b (Study 317),2008,placebo,HAMD17,125.0,,125.0,-9.78,8.16,base_mean:flagged-or-absent:*,True
Lieberman2008b (Study 317),2008,venlafaxine,HAMD17,117.0,25.1,115.0,-12.6,8.15,,True
Tourian2009 (NCT00384033),2009,desvenlafaxine 50mg,HAMD17,155.0,23.0,148.0,-9.8,7.76,,True
Tourian2009 (NCT00384033),2009,desvenlafaxine 100mg,HAMD17,160.0,23.0,150.0,-10.5,7.76,,True
Tourian2009 (NCT00384033),2009,duloxetine,HAMD17,159.0,23.0,157.0,-10.3,7.76,,True
Tourian2009 (NCT00384033),2009,placebo,HAMD17,164.0,24.0,160.0,-8.7,7.76,,True
Dunlop2011 (NCT00824291),2011,desvenlafaxine,HAMD17,291.0,22.0,285.0,-12.61,7.6,,True
Dunlop2011 (NCT00824291),2011,placebo,HAMD17,146.0,21.8,142.0,-10.5,7.1,,True
Clayton2013 (NCT01121484),2013,desvenlafaxine,HAMD17,218.0,22.8,216.0,-9.9,7.76,,True
Clayton2013 (NCT01121484),2013,placebo,HAMD17,221.0,22.4,216.0,-8.1,7.76,,True
Iwata2013 (NCT00798707),2013,desvenlafaxine,HAMD17,237.0,23.0,236.0,13.0,12.315843454672523,,False
Iwata2013 (NCT00798707),2013,placebo,HAMD17,235.0,23.0,231.0,14.6,12.263767773404714,,False
Liebowitz2013 (NCT00863798),2013,desvenlafaxine,HAMD17,227.0,23.0,224.0,14.105263157894736,6.564311204866564,,False
Liebowitz2013 (NCT00863798),2013,placebo,HAMD17,227.0,23.0,223.0,14.701754385964913,6.549642334678982,,False
Clayton2015,2015,placebo,HAMD17,306.0,23.6,294.0,-9.71,6.86285654811464,,True
Clayton2015,2015,desvenlafaxine 50mg,HAMD17,306.0,23.4,291.0,-11.28,6.733112207590187,,True
Clayton2015,2015,desvenlafaxine 100mg,HAMD17,312.0,23.5,301.0,-11.67,6.667293303882769,,True
"DeMartinis2007 (Study 306, NCT00072774)",2007,placebo,HAMD17,120.0,23.1,118.0,-7.7,6.84,,True
"DeMartinis2007 (Study 306, NCT00072774)",2007,desvenlafaxine,HAMD17,118.0,23.2,114.0,-10.5,7.04,,True
Goldstein2002 (HMAQ - Study Group A),2002,duloxetine,HAMD17,70.0,18.47,68.0,-9.73,6.84,,True
Goldstein2002 (HMAQ - Study Group A),2002,placebo,HAMD17,70.0,19.44,66.0,-6.61,6.74,,True
Goldstein2002 (HMAQ - Study Group A),2002,fluoxetine,HAMD17,33.0,17.88,33.0,-7.75,6.89,,True
Study F1J-MC-HMAQ - Study Group B (starting page in the pdf document: 147),unpublished,duloxetine,HAMD17,82.0,17.88,81.0,-8.0,6.75,,True
Study F1J-MC-HMAQ - Study Group B (starting page in the pdf document: 147),unpublished,placebo,HAMD17,75.0,18.32,72.0,-7.1,6.9579307268756265,,True
Study F1J-MC-HMAQ - Study Group B (starting page in the pdf document: 147),unpublished,fluoxetine,HAMD17,37.0,20.03,37.0,-7.63,6.995176909842952,,True
"Goldstein2004a (HMAT - Study Group A, ID#4091)",2004,duloxetine 40mg,HAMD17,91.0,17.47,90.0,-6.18,6.451046426743495,,True
"Goldstein2004a (HMAT - Study Group A, ID#4091)",2004,duloxetine 80mg,HAMD17,84.0,17.44,81.0,-6.31,6.3,,True
"Goldstein2004a (HMAT - Study Group A, ID#4091)",2004,placebo,HAMD17,90.0,17.79,89.0,-4.78,6.415107169798491,,True
"Goldstein2004a (HMAT - Study Group A, ID#4091)",2004,paroxetine,HAMD17,89.0,17.97,87.0,-7.4,6.435891546631282,,True
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",2004,duloxetine 40mg,HAMD17,86.0,18.63,84.0,-7.42,7.332121111929344,,True
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",2004,duloxetine 80mg,HAMD17,91.0,18.06,86.0,-8.61,7.51163098135152,,True
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",2004,placebo,HAMD17,89.0,17.19,88.0,-4.99,7.598473530913957,,True
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",2004,paroxetine,HAMD17,87.0,17.65,84.0,-6.22,7.5154241397275765,,True
Detke2002a (HMBH -  Study Group A),2002,duloxetine,HAMD17,123.0,21.5,121.0,-10.91,7.699999999999999,,True
Detke2002a (HMBH -  Study Group A),2002,placebo,HAMD17,122.0,21.09,115.0,-6.05,7.3994256533868885,,True
Detke2002b (HMBH - Study Group B),2002,duloxetine,HAMD17,128.0,20.28,123.0,-10.46,7.874280919550686,,True
Detke2002b (HMBH - Study Group B),2002,placebo,HAMD17,139.0,20.49,136.0,-8.29,7.813475539092703,,True
Detke2004 (HMAY Study Group A),2004,duloxetine 80mg,HAMD17,95.0,19.88,93.0,-10.22,5.496880933765984,,True
Detke2004 (HMAY Study Group A),2004,duloxetine 120mg,HAMD17,93.0,20.17,93.0,-11.06,5.496880933765984,,True
Detke2004 (HMAY Study Group A),2004,paroxetine,HAMD17,86.0,20.26,85.0,-10.83,5.531726674375732,,True
Detke2004 (HMAY Study Group A),2004,placebo,HAMD17,93.0,19.86,93.0,-8.07,5.496880933765984,,True
Perahia2008a (HMBU) (NCT00071695),2008,duloxetine,HAMD17,166.0,23.1,159.0,-11.32,6.556950510717616,,True
Perahia2008a (HMBU) (NCT00071695),2008,venlafaxine,HAMD17,166.0,23.1,164.0,-12.03,6.531186722181506,,True
Raskin2007 (HMBV) (NCT00062673),2007,duloxetine,HAMD17,207.0,18.76,201.0,-6.49,6.805174501803756,,True
Raskin2007 (HMBV) (NCT00062673),2007,placebo,HAMD17,104.0,18.94,102.0,-3.72,6.362688111168109,,True
Perahia2008b (HMCQ) (NCT00067912),2008,duloxetine,HAMD17,164.0,22.21,159.0,-10.76,7.061331319234356,,True
Perahia2008b (HMCQ) (NCT00067912),2008,venlafaxine 75mg,HAMD17,169.0,22.51,166.0,-10.73,7.08625429969882,,True
Perahia2008b (HMCQ) (NCT00067912),2008,venlafaxine 150mg,HAMD17,171.0,22.24,166.0,-11.02,6.9574133124315685,,True
"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)",2007,escitalopram,HAMD17,274.0,17.8,274.0,-7.22,6.62,,True
"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)",2007,duloxetine,HAMD17,273.0,17.6,273.0,-7.61,6.94,,True
"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)",2007,placebo,HAMD17,137.0,17.7,137.0,-5.97,6.79,,True
Lee2007 (F1J-AA-HMCV) (NCT00489775),2007,duloxetine,HAMD17,238.0,21.1,238.0,-14.19,7.52,,True
Lee2007 (F1J-AA-HMCV) (NCT00489775),2007,paroxetine,HAMD17,240.0,21.2,240.0,-13.52,7.52,,True
Perahia2006 (HMAY - Study Group B),2006,duloxetine 80mg,HAMD17,93.0,21.3,93.0,-11.06,5.689753948985843,,True
Perahia2006 (HMAY - Study Group B),2006,duloxetine 120mg,HAMD17,103.0,21.38,102.0,-11.64,5.554727716099143,,True
Perahia2006 (HMAY - Study Group B),2006,paroxetine,HAMD17,97.0,21.03,97.0,-10.61,5.71233752504174,,True
Perahia2006 (HMAY - Study Group B),2006,placebo,HAMD17,99.0,20.58,99.0,-10.13,5.571929647797072,,True
