label,k,studies,mu,ci_lo,ci_hi,boot_lo,boot_hi,boot_p,tau,I2,p_re,exp_mu,exp_boot_lo,exp_boot_hi,step
"1-6months lnVR, control = active-specific",15,5,-0.14861658996998814,-0.27775544781324846,-0.019477732126727793,-0.3258545130402756,-0.018646556007915503,0.029333333333333333,0.17436573456278587,0.45415658100837075,0.024096879510593583,0.8618995124739836,0.7219102083133477,0.9815262154865347,main
"1-6months lnVR, control = ALL",122,37,-0.06789318384967978,-0.10551074135664115,-0.03027562634271841,-0.11397426886453836,-0.026993171184785912,0.0,0.11226752428171617,0.292762163911818,0.00040409338832647634,0.9343602730143984,0.8922809149881186,0.973367888451087,main
  domain = Distress,46,46,-0.14843281052116358,-0.23968306874980283,-0.057182552292524336,-0.24081931511856855,-0.05703794846384313,0.0,0.2429075297015034,0.6663064038226003,0.0014316750452381122,0.8620579264474987,0.7859836289179022,0.9445582241527752,by-domain
  domain = Mindfulness,42,42,-0.06076872365455105,-0.14263005586000738,0.02109260855090528,-0.13675456081363296,0.020458813760839686,0.137,0.1861028181568761,0.4880978943389576,0.14568187153692058,0.941040855100287,0.8721842680610116,1.020669529838138,by-domain
  domain = Depression,32,32,-0.10823640420486774,-0.22571511671468059,0.009242308304945102,-0.2192741445572251,-0.011877848265290324,0.024,0.25533679478592886,0.5462661912647027,0.07095438059454118,0.8974154185730904,0.8031015220610532,0.9881924149075062,by-domain
  domain = Anxiety,17,17,-0.12115992060180267,-0.32812406351916035,0.08580422231555498,-0.3437586347867025,0.04824233090960285,0.151,0.37532590070223787,0.686758275018609,0.25121948861330967,0.8858922758382175,0.7091000594831989,1.0494249326120828,by-domain
  domain = Real life functioning,20,20,-0.042973264515653184,-0.12031038502957796,0.03436385599827159,-0.1378664206897532,0.035480931704710734,0.32,0.0528365293440541,0.11761991324491368,0.276120093721131,0.9579370006343594,0.8712150602802399,1.0361178909377986,by-domain
  domain = Relationship with self,18,18,-0.03112099859642818,-0.1070290058592661,0.044787008666409736,-0.08359604009952756,0.0263756977598128,0.226,0.0,0.0,0.4216557130948573,0.9693582749890074,0.9198027444819823,1.0267266149110597,by-domain
  domain = Mental wellbeing,18,18,-0.08366048876616844,-0.1718265405462222,0.0045055630138853275,-0.17502079546352925,0.0011492979466552126,0.055,0.10801699867428358,0.38253196968332104,0.06291331078064921,0.9197434663317472,0.8394395640528585,1.0011499586426282,by-domain
  domain = Psychosomatic outcomes,11,11,-0.29625186304440443,-0.5398065903411424,-0.05269713574766649,-0.5541958690092145,-0.07918123206673373,0.002,0.36942345025267287,0.8557056633028004,0.017123976026208743,0.7436001190432634,0.5745340761475863,0.9238724739539927,by-domain
  domain = Cognitive functioning,8,8,-0.03760262827691486,-0.20463210925894004,0.12942685270511034,-0.202630940657916,0.10529571539601479,0.703,0.05875170515563074,0.06419800480899879,0.6590405193186497,0.9630955718096766,0.8165795521336938,1.111039113152978,by-domain
"Baseline lnCVR, passive",232,74,-0.0018580513203384779,-0.02453631305992174,0.020820210419244783,-0.03245715384513428,0.0270317899727979,0.87,0.025796766440233033,0.02269837820336608,0.8724228744596443,0.9981436737884037,0.9680639267596621,1.0274004632771283,cvr
"Postintervention lnCVR, passive",212,71,-0.030533084718768966,-0.06885898918651089,0.007792819748972956,-0.07073981110343926,0.006380763067859459,0.112,0.18116582258856162,0.4589333541276436,0.11841907132828311,0.9699283417299513,0.9317042797014035,1.0064011635035575,cvr
