study,domain,instrument,outcome,ctrl_cat,dlogmean_ctl,dlogsd_ctl,dlogmean_mbp,dlogsd_mbp,predicted_dlogsd_mbp,residual
James 2018,Depression,DASS,Depression,active-nonspecific,-0.18805223150293973,-0.06001800972625304,-0.28561381938772207,0.04049136135473699,-0.09603994666989567,0.13653130802463265
James 2018,Distress,DASS,Stress,active-nonspecific,-0.06207242864237772,0.030771658666753687,-0.3158529494184773,0.1112256351102244,-0.11138863561274985,0.22261427072297424
James 2018,Mindfulness,FFMQ,Mindfulness,active-nonspecific,0.015433806129841385,-0.16492981408208557,0.1312625994846236,0.0783690671155068,0.11555696350493083,-0.03718789638942403
James 2018,Relationship with self,SCS-12,Self-compassion,active-nonspecific,0.0425596144187959,0.0,0.30010459245033816,0.3364722366212129,0.20125728715467178,0.1352149494665411
Brown 2016,Distress,PSS-10,Perceived Stress,active-nonspecific,-0.0514781690034719,0.1764564373415565,-0.3064443489073038,-0.00946080850422896,-0.10661304575660298,0.09715223725237401
Brown 2016,Real life functioning,Zarit Burden Interview,Caregiver burden,active-nonspecific,-0.0714589639821451,0.24785075999428904,-0.22200241316454647,-0.03378978236741705,-0.06375225564359814,0.02996247327618109
Hou 2013,Anxiety,Trait Anxiety Inventory,Anxiety,active-nonspecific,-0.08206365722150806,-0.054680974951140854,-0.1265397951538008,-0.21898985894551629,-0.015297619943853813,-0.20369223900166247
Hou 2013,Depression,CES-D,Depression,active-nonspecific,-0.08996834747350645,0.10827107407656465,-0.37862569076563973,-0.1295577722009171,-0.14325063958071826,0.01369286737980116
Hou 2013,Distress,PSS (Leung 2010),Perceived stress,active-nonspecific,-0.04396312342111606,-0.05991565333583477,-0.10398971352404764,-0.19312677458401645,-0.00385171563976075,-0.1892750589442557
Hou 2013,Mindfulness,FFMQ,Mindfulness,active-nonspecific,0.033607963664753375,-0.22994264710730594,0.05054090807609345,-0.028170876966696106,0.07458448410124183,-0.10275536106793794
Hou 2013,Relationship with self,SCS-SF (12item),Self-compassion,active-nonspecific,0.04051726909726736,-0.035776173165283594,0.0580134297393135,-0.05579135962841566,0.07837736473341783,-0.1341687243618335
Frisvold 2009,Depression,CES-D,Depression,active-nonspecific,-0.029787089166586945,0.0954727946514187,-0.39786050872294487,-0.31724087469332546,-0.15301379207217003,-0.16422708262115543
Frisvold 2009,Distress,PSS,Psychosocial distress,active-nonspecific,-0.05107492993641551,0.44320543609101126,-0.13741901017324243,0.07320340402329492,-0.020819659999437592,0.09402306402273251
