study,domain,instrument,outcome,trange,dir_imp,ctrl_cat,design,n_mbp,m_mbp,sd_mbp,n_ctl,m_ctl,sd_ctl,parse_notes,arm1_label,arm2_label,country,USA,participanttype,contacthours,nr_rand,d1,d2,d3,d4,d5,coi,taught
Grandpierre 2013,Distress,DASS total (also subscales reported),Stress,Baseline,D,passive,Randomized controlled trial,20.0,43.5,20.82,20.0,44.8,24.04,,Mindfulness,Control,Canada,no,2.selective,9,40,Some,High,High,High,Some,NR,Y
Grandpierre 2013,Distress,DASS total (also subscales reported),Stress,Postintervention,D,passive,Randomized controlled trial,20.0,37.6,16.64,20.0,45.7,25.04,,Mindfulness,Control,Canada,no,2.selective,9,40,Some,High,High,High,Some,NR,Y
Grandpierre 2013,Real life functioning,LASSI subscales,Academic functioning,Baseline,U,passive,Randomized controlled trial,20.0,17.85,5.69,20.0,19.05,5.09,,Mindfulness,Control,Canada,no,2.selective,9,40,Some,High,High,High,Some,NR,Y
Grandpierre 2013,Real life functioning,LASSI subscales,Academic functioning,Postintervention,U,passive,Randomized controlled trial,20.0,19.8,5.01,20.0,17.4,4.63,,Mindfulness,Control,Canada,no,2.selective,9,40,Some,High,High,High,Some,NR,Y
Greenberg 2010,Cognitive functioning,Competitor Rule Suppression,Task switching,Baseline,D,passive,Randomized controlled trial,36.0,855.0,39.0,36.0,853.0,39.0,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,Israel,no,1.universal,18,76,Some,High,High,Some,Some,N,Y
Greenberg 2010,Cognitive functioning,Competitor Rule Suppression,Task switching,Postintervention,D,passive,Randomized controlled trial,32.0,645.0,35.0,33.0,677.0,35.0,,Mindfulness,Control,Israel,no,1.universal,18,76,Some,High,High,Some,Some,N,Y
Greeson 2014,Distress,PSS-10,Perceived Stress,Baseline,D,passive,Randomized controlled trial,45.0,23.71,5.65,45.0,25.66,5.65,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Greeson 2014,Distress,PSS-10,Perceived Stress,Postintervention,D,passive,Randomized controlled trial,45.0,20.43,6.2,45.0,25.04,5.96,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Greeson 2014,Mindfulness,Cognitive and Affective Mindfulness Scale-Revised (CAMS-R),Mindfulness,Baseline,U,passive,Randomized controlled trial,45.0,28.69,5.63,45.0,27.22,5.63,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Greeson 2014,Mindfulness,Cognitive and Affective Mindfulness Scale-Revised (CAMS-R),Mindfulness,Postintervention,U,passive,Randomized controlled trial,45.0,33.77,6.06,45.0,26.79,5.87,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Greeson 2014,Psychosomatic outcomes,Medical Outcome Study Sleep sub Scale (MOS SLP9),Sleep,Baseline,D,passive,Randomized controlled trial,45.0,41.36,16.21,45.0,42.91,16.21,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Greeson 2014,Psychosomatic outcomes,Medical Outcome Study Sleep sub Scale (MOS SLP9),Sleep,Postintervention,D,passive,Randomized controlled trial,45.0,32.52,18.06,45.0,42.84,17.23,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Greeson 2014,Relationship with self,SCS-26,Self-compassion,Baseline,U,passive,Randomized controlled trial,45.0,2.73,0.66,45.0,2.61,0.66,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Greeson 2014,Relationship with self,SCS-26,Self-compassion,Postintervention,U,passive,Randomized controlled trial,45.0,3.25,0.7,45.0,2.62,0.68,,Mindfulness,Control,US,yes,1.universal,5,90,Some,High,Some,High,Some,NR,NR
Haarig 2016,Depression,BDI-II,Depression,1-6months,D,passive,Randomized controlled trial,14.0,7.1,6.8,14.0,15.6,10.5,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Depression,BDI-II,Depression,Baseline,D,passive,Randomized controlled trial,14.0,13.7,6.8,14.0,15.1,11.2,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Depression,BDI-II,Depression,Postintervention,D,passive,Randomized controlled trial,14.0,7.3,7.1,14.0,17.6,13.4,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Mindfulness,FFMQ-D German version,mindfulness,1-6months,U,passive,Randomized controlled trial,14.0,135.0,16.8,14.0,118.4,24.7,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Mindfulness,FFMQ-D German version,mindfulness,Baseline,U,passive,Randomized controlled trial,14.0,126.4,18.9,14.0,118.1,24.9,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Mindfulness,FFMQ-D German version,mindfulness,Postintervention,U,passive,Randomized controlled trial,14.0,137.4,14.5,14.0,116.29,24.7,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Real life functioning,,Coping with stress- SVF -78 (German scale validated for func,1-6months,D,passive,Randomized controlled trial,14.0,48.9,8.3,14.0,60.8,12.7,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Real life functioning,,Coping with stress- SVF -78 (German scale validated for func,Baseline,D,passive,Randomized controlled trial,14.0,56.2,12.0,14.0,62.2,12.2,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Haarig 2016,Real life functioning,,Coping with stress- SVF -78 (German scale validated for func,Postintervention,D,passive,Randomized controlled trial,14.0,48.7,8.7,14.0,62.1,12.6,,Mindfulness,Control,Germany,no,1.universal,12,28,Some,High,Low,High,Some,NR,Y
Huang 2015,Distress,,Perceived Stress Scale,1-6months,D,passive,Randomized controlled trial,72.0,10.8,5.4,72.0,13.3,6.2,,Mindfulness,Control,Taiwan,no,1.universal,16,144,Low,High,Low,High,Some,N,Y
Huang 2015,Distress,,Perceived Stress Scale,Baseline,D,passive,Randomized controlled trial,72.0,15.4,5.5,72.0,15.1,5.4,,Mindfulness,Control,Taiwan,no,1.universal,16,144,Low,High,Low,High,Some,N,Y
Huang 2015,Distress,,Perceived Stress Scale,Postintervention,D,passive,Randomized controlled trial,72.0,9.1,5.4,72.0,13.7,6.7,,Mindfulness,Control,Taiwan,no,1.universal,16,144,Low,High,Low,High,Some,N,Y
Hwang 2019,Distress,PSS-10,Perceived Stress,1-6months,D,passive,Cluster randomized controlled trial,55.0,29.59,3.81,69.0,31.33,3.9,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Distress,PSS-10,Perceived Stress,Baseline,D,passive,Cluster randomized controlled trial,85.0,31.22,3.46,100.0,31.16,3.22,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Distress,PSS-10,Perceived Stress,Postintervention,D,passive,Cluster randomized controlled trial,83.0,28.96,4.75,83.0,30.67,3.69,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Mindfulness,FFMQ,Mindfulness,1-6months,U,passive,Cluster randomized controlled trial,55.0,54.66,4.89,69.0,53.35,4.45,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Cluster randomized controlled trial,85.0,52.89,4.14,100.0,54.08,4.48,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Cluster randomized controlled trial,83.0,54.75,4.6,83.0,53.48,3.62,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Psychosomatic outcomes,PSQI,Sleep,1-6months,D,passive,Cluster randomized controlled trial,55.0,12.0,5.66,69.0,13.84,6.67,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Psychosomatic outcomes,PSQI,Sleep,Baseline,D,passive,Cluster randomized controlled trial,85.0,12.45,5.29,100.0,13.52,6.82,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Psychosomatic outcomes,PSQI,Sleep,Postintervention,D,passive,Randomized controlled trial,83.0,11.09,5.42,83.0,15.73,14.35,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Real life functioning,Teachers’ Sense of Efficacy Scale (TSES)-Short Form,Teacher Efficacy,1-6months,U,passive,Cluster randomized controlled trial,55.0,21.04,3.29,69.0,22.25,3.58,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Real life functioning,Teachers’ Sense of Efficacy Scale (TSES)-Short Form,Teacher Efficacy,Baseline,U,passive,Cluster randomized controlled trial,85.0,20.56,3.74,100.0,21.91,3.05,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Real life functioning,Teachers’ Sense of Efficacy Scale (TSES)-Short Form,Teacher Efficacy,Postintervention,U,passive,Randomized controlled trial,83.0,21.82,2.88,83.0,22.57,3.32,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Relationship with self,SCS-12,Self-compassion,1-6months,U,passive,Cluster randomized controlled trial,55.0,3.24,0.61,69.0,3.09,0.75,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Relationship with self,SCS-12,Self-compassion,Baseline,U,passive,Cluster randomized controlled trial,85.0,2.9,0.68,100.0,2.89,0.7,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Hwang 2019,Relationship with self,SCS-12,Self-compassion,Postintervention,U,passive,Randomized controlled trial,83.0,3.22,0.7,83.0,3.01,0.66,,Mindfulness,Control,Australia,no,2.selective,12,185,Some,Some,Some,High,Some,N,NR
Kang 2009,Depression,BDI Korean,Depression,Baseline,D,passive,Randomized controlled trial,16.0,9.93,5.25,16.0,6.92,5.15,,Mindfulness,Control,South Korea,no,1.universal,14,41,Low,High,High,High,Some,NR,Y
Kang 2009,Depression,BDI Korean,Depression,Postintervention,D,passive,Randomized controlled trial,16.0,4.56,3.42,16.0,7.88,5.73,,Mindfulness,Control,South Korea,no,1.universal,14,41,Low,High,High,High,Some,NR,Y
Kang 2009,Distress,psychosocial wellbeing index-short form (PWI-SF),Stress,Baseline,U,passive,Randomized controlled trial,16.0,23.69,5.12,16.0,19.5,5.7,,Mindfulness,Control,South Korea,no,1.universal,14,41,Low,High,High,High,Some,NR,Y
Kang 2009,Distress,psychosocial wellbeing index-short form (PWI-SF),Stress,Postintervention,U,passive,Randomized controlled trial,16.0,17.27,5.18,16.0,21.4,7.47,,Mindfulness,Control,South Korea,no,1.universal,14,41,Low,High,High,High,Some,NR,Y
Kaviani 2008,Anxiety,BAI,Anxiety,1-6months,D,passive,Randomized controlled trial,14.0,11.34,3.2,15.0,19.87,4.1,,Mindfulness,Control,Iran,no,3.indicated,20,30,Some,High,Low,High,Some,NR,NR
Kaviani 2008,Anxiety,BAI,Anxiety,Baseline,D,passive,Randomized controlled trial,14.0,22.1,4.3,15.0,21.0,3.4,,Mindfulness,Control,Iran,no,3.indicated,20,30,Some,High,Low,High,Some,NR,NR
Kaviani 2008,Anxiety,BAI,Anxiety,Postintervention,D,passive,Randomized controlled trial,14.0,12.98,2.9,15.0,21.43,3.7,,Mindfulness,Control,Iran,no,3.indicated,20,30,Some,High,Low,High,Some,NR,NR
Kaviani 2008,Depression,BDI,Depression,1-6months,D,passive,Randomized controlled trial,14.0,10.23,3.9,15.0,20.34,5.5,,Mindfulness,Control,Iran,no,3.indicated,20,30,Some,High,Low,High,Some,NR,NR
Kaviani 2008,Depression,BDI,Depression,Baseline,D,passive,Randomized controlled trial,14.0,20.55,5.2,15.0,21.09,3.7,,Mindfulness,Control,Iran,no,3.indicated,20,30,Some,High,Low,High,Some,NR,NR
Kaviani 2008,Depression,BDI,Depression,Postintervention,D,passive,Randomized controlled trial,14.0,15.98,4.0,15.0,18.21,2.9,,Mindfulness,Control,Iran,no,3.indicated,20,30,Some,High,Low,High,Some,NR,NR
Klatt 2017,Distress,PSS,Perceived Stress,Baseline,D,passive,Randomized controlled trial,27.0,19.0,5.46,30.0,16.23,6.78,,Mindfulness,Control,Denmark,no,1.universal,9,81,Some,High,Some,High,Some,N,Y
Klatt 2017,Distress,PSS,Perceived Stress,Postintervention,D,passive,Randomized controlled trial,27.0,14.07,4.92,30.0,16.17,7.39,,Mindfulness,Control,Denmark,no,1.universal,9,81,Some,High,Some,High,Some,N,Y
Klatt 2017,Psychosomatic outcomes,PSQI,Sleep,Baseline,D,passive,Randomized controlled trial,27.0,5.93,1.8,30.0,5.13,2.28,,Mindfulness,Control,Denmark,no,1.universal,9,81,Some,High,Some,High,Some,N,Y
Klatt 2017,Psychosomatic outcomes,PSQI,Sleep,Postintervention,D,passive,Randomized controlled trial,27.0,3.89,1.6,30.0,4.83,2.67,,Mindfulness,Control,Denmark,no,1.universal,9,81,Some,High,Some,High,Some,N,Y
Klatt 2017,Real life functioning,Utrecht Work Engagement Scale,Work engagement,Baseline,U,passive,Randomized controlled trial,26.0,4.55,0.76,30.0,4.59,0.68,,Mindfulness,Control,Denmark,no,1.universal,9,81,Some,High,Some,High,Some,N,Y
Klatt 2017,Real life functioning,Utrecht Work Engagement Scale,Work engagement,Postintervention,U,passive,Randomized controlled trial,26.0,4.71,0.78,30.0,4.57,0.66,,Mindfulness,Control,Denmark,no,1.universal,9,81,Some,High,Some,High,Some,N,Y
Kor 2019,Anxiety,HADS A Chinese,Anxiety,1-6months,D,passive,Randomized controlled trial,18.0,8.94,3.49,18.0,7.33,2.89,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Anxiety,HADS A Chinese,Anxiety,Baseline,D,passive,Randomized controlled trial,18.0,9.89,5.66,18.0,7.44,4.25,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Anxiety,HADS A Chinese,Anxiety,Postintervention,D,passive,Randomized controlled trial,18.0,7.5,4.46,18.0,8.06,2.58,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Depression,CES-D Chinese,Depression,1-6months,D,passive,Randomized controlled trial,18.0,17.78,10.0,18.0,21.56,11.81,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Depression,CES-D Chinese,Depression,Baseline,D,passive,Randomized controlled trial,18.0,23.44,14.58,18.0,19.0,12.44,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Depression,CES-D Chinese,Depression,Postintervention,D,passive,Randomized controlled trial,18.0,15.11,12.17,18.0,18.28,10.45,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Distress,PSS Chinese,Perceived stress,1-6months,D,passive,Randomized controlled trial,18.0,23.28,7.36,18.0,27.56,4.6,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Distress,PSS Chinese,Perceived stress,Baseline,D,passive,Randomized controlled trial,18.0,29.22,9.1,18.0,26.83,5.64,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Distress,PSS Chinese,Perceived stress,Postintervention,D,passive,Randomized controlled trial,18.0,24.1,8.12,18.0,25.89,5.23,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Real life functioning,Zarit Burden Interview Chinese,Caregiver burden,1-6months,D,passive,Randomized controlled trial,18.0,31.94,12.55,18.0,43.07,11.75,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Real life functioning,Zarit Burden Interview Chinese,Caregiver burden,Baseline,D,passive,Randomized controlled trial,18.0,44.22,17.78,18.0,43.39,13.54,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Kor 2019,Real life functioning,Zarit Burden Interview Chinese,Caregiver burden,Postintervention,D,passive,Randomized controlled trial,18.0,37.17,16.57,18.0,40.72,14.15,,Mindfulness,Control,China (HK),no,1.universal,14,36,Low,Some,Low,High,Low,NR,NR
Krick 2019,Distress,PANASX-N past few weeks,Negative affect,Baseline,D,passive,Randomized controlled trial,126.0,2.0,0.79,141.0,2.02,0.76,,Mindfulness,Control,Germany,no,1.universal,12,267,Some,Some,Low,High,Some,N,NR
Krick 2019,Distress,PANASX-N past few weeks,Negative affect,Postintervention,D,passive,Randomized controlled trial,126.0,1.62,0.51,141.0,2.12,0.72,,Mindfulness,Control,Germany,no,1.universal,12,267,Some,Some,Low,High,Some,N,NR
Krick 2019,Mindfulness,FFMQ German validation,Mindfulness,Baseline,U,passive,Randomized controlled trial,126.0,3.2,0.4,141.0,3.23,0.43,,Mindfulness,Control,Germany,no,1.universal,12,267,Some,Some,Low,High,Some,N,NR
Krick 2019,Mindfulness,FFMQ German validation,Mindfulness,Postintervention,U,passive,Randomized controlled trial,126.0,3.71,0.41,141.0,3.23,0.42,,Mindfulness,Control,Germany,no,1.universal,12,267,Some,Some,Low,High,Some,N,NR
Krick 2019,Relationship with self,Health-oriented Leadership instrument,Self-care,Baseline,U,passive,Randomized controlled trial,126.0,3.26,0.44,141.0,3.28,0.43,,Mindfulness,Control,Germany,no,1.universal,12,267,Some,Some,Low,High,Some,N,NR
Krick 2019,Relationship with self,Health-oriented Leadership instrument,Self-care,Postintervention,U,passive,Randomized controlled trial,126.0,4.23,0.32,141.0,3.3,0.34,,Mindfulness,Control,Germany,no,1.universal,12,267,Some,Some,Low,High,Some,N,NR
Lara-Cinisomo 2019,Anxiety,STAI trait,Anxiety,Baseline,D,passive,Randomized controlled trial,11.0,27.73,6.93,12.0,28.17,9.16,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lara-Cinisomo 2019,Anxiety,STAI trait,Anxiety,Postintervention,D,passive,Randomized controlled trial,11.0,21.55,3.8,12.0,34.58,18.49,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lara-Cinisomo 2019,Depression,PHQ-8,Depression,Baseline,D,passive,Randomized controlled trial,11.0,6.0,2.68,12.0,9.08,6.27,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lara-Cinisomo 2019,Depression,PHQ-8,Depression,Postintervention,D,passive,Randomized controlled trial,11.0,5.0,4.4,12.0,7.75,5.33,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lara-Cinisomo 2019,Distress,PSS-14,Perceived Stress,Baseline,D,passive,Randomized controlled trial,11.0,18.09,6.38,12.0,19.33,8.34,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lara-Cinisomo 2019,Distress,PSS-14,Perceived Stress,Postintervention,D,passive,Randomized controlled trial,11.0,12.45,4.76,12.0,19.75,7.17,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lara-Cinisomo 2019,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,11.0,135.01,19.35,12.0,131.38,20.08,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lara-Cinisomo 2019,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,11.0,152.08,16.99,12.0,130.83,21.28,,Mindfulness,Control,US,yes,1.universal,16,23,Some,High,Low,High,Some,N,Y
Lee 2010,Anxiety,SCL-90-R Anxiety subscale,Anxiety,Baseline,D,passive,Randomized controlled trial,30.0,20.33,7.81,30.0,22.37,8.37,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Anxiety,SCL-90-R Anxiety subscale,Anxiety,Postintervention,D,passive,Randomized controlled trial,30.0,13.77,5.86,30.0,23.2,7.48,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Depression,BDI,Depression,Baseline,D,passive,Randomized controlled trial,30.0,12.53,7.52,30.0,14.07,8.36,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Depression,BDI,Depression,Postintervention,D,passive,Randomized controlled trial,30.0,5.9,6.96,30.0,13.2,8.14,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Mental wellbeing,Psychological well-being scale (PWB-18),Psychological well-being,Baseline,U,passive,Randomized controlled trial,30.0,71.83,10.64,30.0,69.47,7.09,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Mental wellbeing,Psychological well-being scale (PWB-18),Psychological well-being,Postintervention,U,passive,Randomized controlled trial,30.0,86.26,12.91,30.0,70.93,10.78,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Mindfulness,Park scale,Mindfulness,Baseline,U,passive,Randomized controlled trial,30.0,45.1,16.69,30.0,49.46,17.6,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Mindfulness,Park scale,Mindfulness,Postintervention,U,passive,Randomized controlled trial,30.0,56.6,11.64,30.0,47.36,16.04,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Psychosomatic outcomes,Symptom Checklist-90-Revised somatization subscale,Somatization,Baseline,D,passive,Randomized controlled trial,30.0,21.2,6.46,30.0,23.63,8.25,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Psychosomatic outcomes,Symptom Checklist-90-Revised somatization subscale,Somatization,Postintervention,D,passive,Randomized controlled trial,30.0,16.77,6.03,30.0,23.43,7.16,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Relationship with self,SCS 26,Self-compassion,Baseline,U,passive,Randomized controlled trial,30.0,77.96,17.24,30.0,75.86,13.45,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Lee 2010,Relationship with self,SCS 26,Self-compassion,Postintervention,U,passive,Randomized controlled trial,30.0,87.83,16.97,30.0,71.93,14.37,,Mindfulness,Control,South Korea,no,1.universal,20,75,Some,High,High,High,Some,NR,Y
Li 2018,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,15.0,116.1,13.4,15.0,123.8,11.9,,Mindfulness,Control,China,no,1.universal,20,34,Some,High,High,High,Some,N,NR
Li 2018,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,15.0,137.1,17.6,15.0,126.9,7.9,,Mindfulness,Control,China,no,1.universal,20,34,Some,High,High,High,Some,N,NR
Lin 2019,Distress,PSS-14,Perceived stress,1-6months,D,passive,Randomized controlled trial,44.0,36.68,6.79,46.0,39.67,5.24,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Distress,PSS-14,Perceived stress,Baseline,D,passive,Randomized controlled trial,44.0,40.91,6.44,46.0,39.91,4.9,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Distress,PSS-14,Perceived stress,Postintervention,D,passive,Randomized controlled trial,44.0,37.39,5.97,46.0,40.76,5.01,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Mental wellbeing,PANAS time frame last week or 2 Chinese,Positive affect,1-6months,U,passive,Randomized controlled trial,44.0,33.21,7.38,46.0,29.0,5.62,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Mental wellbeing,PANAS time frame last week or 2 Chinese,Positive affect,Baseline,U,passive,Randomized controlled trial,44.0,28.52,6.5,46.0,28.74,5.05,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Mental wellbeing,PANAS time frame last week or 2 Chinese,Positive affect,Postintervention,U,passive,Randomized controlled trial,44.0,32.02,6.45,46.0,29.0,5.51,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Real life functioning,Connor-Davidson Resilience Scale,Resilience,1-6months,U,passive,Randomized controlled trial,44.0,59.7,11.87,46.0,53.85,16.21,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Real life functioning,Connor-Davidson Resilience Scale,Resilience,Baseline,U,passive,Randomized controlled trial,44.0,54.43,11.46,46.0,55.17,11.85,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Lin 2019,Real life functioning,Connor-Davidson Resilience Scale,Resilience,Postintervention,U,passive,Randomized controlled trial,44.0,57.98,11.58,46.0,55.11,12.8,,Mindfulness,Control,China,no,2.selective,16,110,Some,High,High,High,Some,N,NR
Liu 2013,Distress,Affect-balance Scale negative Chinese validated,Negative Affect,Baseline,D,passive,Randomized controlled trial,17.0,1.1,1.2,21.0,1.7,1.6,,Mindfulness,Control,China,no,1.universal,15,72,Some,High,High,High,Some,NR,NR
Liu 2013,Distress,Affect-balance Scale negative Chinese validated,Negative Affect,Postintervention,D,passive,Randomized controlled trial,17.0,0.7,0.8,21.0,2.2,1.4,,Mindfulness,Control,China,no,1.universal,15,72,Some,High,High,High,Some,NR,NR
Liu 2013,Mental wellbeing,Index of well-being Chinese validated,Wellbeing,Baseline,U,passive,Randomized controlled trial,17.0,10.8,1.5,21.0,10.3,1.5,,Mindfulness,Control,China,no,1.universal,15,72,Some,High,High,High,Some,NR,NR
Liu 2013,Mental wellbeing,Index of well-being Chinese validated,Wellbeing,Postintervention,U,passive,Randomized controlled trial,17.0,11.7,1.6,21.0,10.0,2.7,,Mindfulness,Control,China,no,1.universal,15,72,Some,High,High,High,Some,NR,NR
Liu 2013,Mindfulness,FFMQ validated in Chinese,Mindfulness,Baseline,U,passive,Randomized controlled trial,17.0,128.2,11.3,21.0,123.0,12.5,,Mindfulness,Control,China,no,1.universal,15,72,Some,High,High,High,Some,NR,NR
Liu 2013,Mindfulness,FFMQ validated in Chinese,Mindfulness,Postintervention,U,passive,Randomized controlled trial,17.0,143.4,14.5,21.0,122.7,12.7,,Mindfulness,Control,China,no,1.universal,15,72,Some,High,High,High,Some,NR,NR
Liu 2015,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,33.0,122.25,15.6,32.0,119.89,12.81,,Mindfulness,Control,China,no,1.universal,20,65,Some,High,High,High,Some,N,N
Liu 2015,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,29.0,136.48,16.23,28.0,120.39,10.79,,Mindfulness,Control,China,no,1.universal,20,65,Some,High,High,High,Some,N,N
Lo 2017,Depression,CES-D,Depression,Baseline,D,passive,Randomized controlled trial,91.0,23.24,9.4,89.0,21.75,10.34,,Mindfulness,Control,China,no,2.selective,9,180,Some,High,Low,High,Some,NR,Y
