study,domain,instrument,outcome,trange,dir_imp,ctrl_cat,design,n_mbp,m_mbp,sd_mbp,n_ctl,m_ctl,sd_ctl,parse_notes,arm1_label,arm2_label,country,USA,participanttype,contacthours,nr_rand,d1,d2,d3,d4,d5,coi,taught
Wilson 2012,Mental wellbeing,SWLS,Life satisfaction,Baseline,U,passive,Randomized controlled trial,27.0,4.92,1.41,27.0,5.11,1.45,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Mental wellbeing,SWLS,Life satisfaction,Postintervention,U,passive,Randomized controlled trial,27.0,5.85,1.08,27.0,5.03,1.4,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Mindfulness,FFMQ,Mindfulness,1-6months,U,passive,Randomized controlled trial,27.0,133.58,16.12,27.0,129.78,13.4,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,27.0,127.85,18.36,27.0,126.48,19.11,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,27.0,134.65,16.3,27.0,125.82,16.13,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Psychosomatic outcomes,PSQI,Sleep,1-6months,D,passive,Randomized controlled trial,27.0,3.62,1.44,27.0,6.11,2.34,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Psychosomatic outcomes,PSQI,Sleep,Baseline,D,passive,Randomized controlled trial,27.0,5.5,2.63,27.0,6.74,2.8,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Psychosomatic outcomes,PSQI,Sleep,Postintervention,D,passive,Randomized controlled trial,27.0,3.65,1.9,27.0,6.78,2.31,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Real life functioning,Utrecht Work Engagement Scale,Work engagement,1-6months,U,passive,Randomized controlled trial,27.0,4.61,0.5,27.0,3.99,0.82,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Real life functioning,Utrecht Work Engagement Scale,Work engagement,Baseline,U,passive,Randomized controlled trial,27.0,4.22,0.75,27.0,4.07,0.87,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Wilson 2012,Real life functioning,Utrecht Work Engagement Scale,Work engagement,Postintervention,U,passive,Randomized controlled trial,27.0,4.69,0.46,27.0,4.04,0.77,,Mindfulness,Control,US,yes,1.universal,8,96,Some,High,High,High,Some,NR,NR
Aeamla-Or 2015,Depression,CES-D,Depression,1-6months,D,passive,Randomized controlled trial,63.0,15.79,8.04,63.0,19.02,9.56,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Depression,CES-D,Depression,Postintervention,D,passive,Randomized controlled trial,63.0,13.37,7.39,63.0,15.63,7.65,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Distress,PSS-10,Perceived Stress,1-6months,D,passive,Randomized controlled trial,63.0,17.46,5.4,63.0,19.24,5.09,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Distress,PSS-10,Perceived Stress,Postintervention,D,passive,Randomized controlled trial,63.0,14.21,5.33,63.0,16.7,5.08,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Mindfulness,MAAS,Mindfulness,1-6months,U,passive,Randomized controlled trial,63.0,67.1,7.6,63.0,62.05,7.9,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Mindfulness,MAAS,Mindfulness,Postintervention,U,passive,Randomized controlled trial,63.0,66.21,7.4,63.0,63.0,7.56,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Real life functioning,grade point average scores (GPA),Academic performance,1-6months,U,passive,Randomized controlled trial,63.0,3.13,0.35,63.0,3.17,0.36,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Real life functioning,grade point average scores (GPA),Academic performance,Postintervention,U,passive,Randomized controlled trial,63.0,2.91,0.47,63.0,2.97,0.42,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Relationship with self,Rosenberg Self-Esteem Scale,Self-esteem,1-6months,U,passive,Randomized controlled trial,63.0,32.06,3.14,63.0,29.84,4.21,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Relationship with self,Rosenberg Self-Esteem Scale,Self-esteem,Postintervention,U,passive,Randomized controlled trial,63.0,31.38,3.24,63.0,30.19,3.52,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Depression,CES-D,Depression,Baseline,D,passive,Randomized controlled trial,63.0,15.14,7.03,63.0,15.59,7.93,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Distress,PSS-10,Perceived Stress,Baseline,D,passive,Randomized controlled trial,63.0,16.73,4.97,63.0,16.73,5.34,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Mindfulness,MAAS,Mindfulness,Baseline,U,passive,Randomized controlled trial,64.0,61.46,6.32,63.0,61.52,7.3,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Aeamla-Or 2015,Relationship with self,Rosenberg Self-Esteem Scale,Self-esteem,Baseline,U,passive,Randomized controlled trial,63.0,29.57,2.83,63.0,29.94,3.95,,Mindfulness,Control,Thailand,no,1.universal,27.5,127,Low,Low,Low,High,Some,NR,Y
Amutio 2015,Mindfulness,FFMQ,Mindfulness (trait),Baseline,U,passive,Randomized controlled trial,21.0,3.34,0.44,21.0,3.51,0.37,,Mindfulness,Control,Spain,no,2.selective,28,42,Some,High,High,High,Some,N,NR
Amutio 2015,Mindfulness,FFMQ,Mindfulness (trait),Postintervention,U,passive,Randomized controlled trial,21.0,3.71,0.51,21.0,3.34,0.33,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,Spain,no,2.selective,28,42,Some,High,High,High,Some,N,NR
Amutio 2015,Real life functioning,Maslach Burnout Inventory Spanish validated confirmed by aut,Burnout,Baseline,D,passive,Randomized controlled trial,21.0,2.47,1.29,21.0,1.85,1.1,,Mindfulness,Control,Spain,no,2.selective,28,42,Some,High,High,High,Some,N,NR
Amutio 2015,Real life functioning,Maslach Burnout Inventory Spanish validated confirmed by aut,Burnout,Postintervention,D,passive,Randomized controlled trial,21.0,1.74,1.12,21.0,1.84,1.07,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,Spain,no,2.selective,28,42,Some,High,High,High,Some,N,NR
Anderson 2007,Anxiety,BAI,Anxiety,Baseline,D,passive,Randomized controlled trial,39.0,10.4,9.3,33.0,8.4,6.5,,Mindfulness,Control,Canada,no,1.universal,16,86,Some,High,High,High,Some,NR,NR
Anderson 2007,Anxiety,BAI,Anxiety,Postintervention,D,passive,Randomized controlled trial,39.0,6.8,7.2,33.0,7.6,7.6,,Mindfulness,Control,Canada,no,1.universal,16,86,Some,High,High,High,Some,NR,NR
Anderson 2007,Depression,BDI,Depression,Baseline,D,passive,Randomized controlled trial,39.0,13.1,10.1,33.0,8.1,7.3,,Mindfulness,Control,Canada,no,1.universal,16,86,Some,High,High,High,Some,NR,NR
Anderson 2007,Depression,BDI,Depression,Postintervention,D,passive,Randomized controlled trial,39.0,6.0,8.9,33.0,7.6,7.7,,Mindfulness,Control,Canada,no,1.universal,16,86,Some,High,High,High,Some,NR,NR
Asuero 2014,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,43.0,129.6,22.2,25.0,120.5,14.4,,Intervention group,Control group,Spain,no,2.selective,28,68,Some,High,High,High,Some,NR,N
Asuero 2014,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,43.0,141.6,16.5,25.0,121.6,16.0,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Intervention group,Control group,Spain,no,2.selective,28,68,Some,High,High,High,Some,NR,N
Asuero 2014,Real life functioning,MBI-GS,Burnout,Baseline,D,passive,Randomized controlled trial,43.0,25.1,11.6,25.0,26.0,12.5,,Intervention group,Control group,Spain,no,2.selective,28,68,Some,High,High,High,Some,NR,N
Asuero 2014,Real life functioning,MBI-GS,Burnout,Postintervention,D,passive,Randomized controlled trial,43.0,19.5,11.0,25.0,26.7,13.6,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Intervention group,Control group,Spain,no,2.selective,28,68,Some,High,High,High,Some,NR,N
Auseron 2018,Distress,Perceived Stress Questionnaire PSQ,Perceived Stress,Baseline,D,passive,Randomized controlled trial,23.0,0.5,0.15,22.0,0.49,0.16,,Mindfulness,Control,Spain,no,2.selective,20,48,Low,Some,High,High,High,NR,NR
Auseron 2018,Distress,Perceived Stress Questionnaire PSQ,Perceived Stress,Postintervention,D,passive,Randomized controlled trial,23.0,0.33,0.14,22.0,0.52,0.19,,Mindfulness,Control,Spain,no,2.selective,20,48,Low,Some,High,High,High,NR,NR
Auseron 2018,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,23.0,120.5,19.5,22.0,115.1,23.5,,Mindfulness,Control,Spain,no,2.selective,20,48,Low,Some,High,High,High,NR,NR
Auseron 2018,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,23.0,140.1,14.2,22.0,114.8,20.4,,Mindfulness,Control,Spain,no,2.selective,20,48,Low,Some,High,High,High,NR,NR
Behbahani 2018,Distress,The Parenting Stress Index–Short Form parental distress subs,Stress,1-6months,D,passive,Randomized controlled trial,26.0,37.07,7.13,30.0,43.16,8.1,,Mindfulness,Control,Iran,no,2.selective,12,60,Some,High,High,High,Some,N,NR
Behbahani 2018,Distress,The Parenting Stress Index–Short Form parental distress subs,Stress,Baseline,D,passive,Randomized controlled trial,30.0,47.76,4.71,30.0,49.1,5.06,,Mindfulness,Control,Iran,no,2.selective,12,60,Some,High,High,High,Some,N,NR
Behbahani 2018,Distress,The Parenting Stress Index–Short Form parental distress subs,Stress,Postintervention,D,passive,Randomized controlled trial,26.0,37.42,6.11,30.0,42.26,8.61,,Mindfulness,Control,Iran,no,2.selective,12,60,Some,High,High,High,Some,N,NR
Benn 2012,Depression,CES-D,Depression,1-6months,D,passive,Randomized controlled trial,24.0,30.82,9.1,19.0,35.51,9.83,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Depression,CES-D,Depression,Baseline,D,passive,Randomized controlled trial,31.0,33.18,8.48,29.0,36.22,9.2,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Depression,CES-D,Depression,Postintervention,D,passive,Randomized controlled trial,30.0,30.03,8.03,29.0,36.69,10.46,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Distress,PSS-14,Stress,1-6months,D,passive,Randomized controlled trial,24.0,2.04,0.45,19.0,2.42,0.56,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Distress,PSS-14,Stress,Baseline,D,passive,Randomized controlled trial,31.0,2.37,0.55,29.0,2.46,0.59,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Distress,PSS-14,Stress,Postintervention,D,passive,Randomized controlled trial,30.0,1.97,0.58,29.0,2.25,0.55,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Mental wellbeing,PANAS-P in last week,Positive affect,1-6months,U,passive,Randomized controlled trial,24.0,3.56,0.78,19.0,3.26,0.8,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Mental wellbeing,PANAS-P in last week,Positive affect,Baseline,U,passive,Randomized controlled trial,31.0,3.29,0.73,29.0,3.2,0.7,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
